id,year,memnum,wrkslf,age,agekdbrn,degree,sex,class,polactions,racehisp
47,2004,NA,Work For Someone Else,53,NA,HS Diploma,Female,Middle,NA,White
48,2004,0,Work For Someone Else,33,NA,Grad/Prof Degree,Male,Working,1,White
49,2004,2,Self Employed,26,NA,HS Diploma,Female,Working,5,White
50,2004,NA,Self Employed,63,20,College Degree,Female,Middle,NA,White
51,2004,NA,Work For Someone Else,38,30,HS Diploma,Male,Middle,NA,White
52,2004,5,Self Employed,30,NA,Grad/Prof Degree,Male,Middle,6,Other
53,2004,0,Work For Someone Else,37,NA,HS Diploma,Female,Middle,3,Hispanic
54,2004,0,Work For Someone Else,49,37,HS Diploma,Male,Middle,0,White
55,2004,7,Work For Someone Else,23,NA,Less Than HS,Male,Working,2,White
56,2004,NA,Work For Someone Else,59,NA,Less Than HS,Female,Working,NA,White
57,2004,1,Self Employed,47,NA,Grad/Prof Degree,Male,Middle,5,White
58,2004,NA,Work For Someone Else,31,23,College Degree,Female,Middle,NA,White
59,2004,2,Work For Someone Else,55,27,College Degree,Female,Middle,5,White
60,2004,1,Work For Someone Else,74,36,College Degree,Male,Middle,4,White
61,2004,2,Work For Someone Else,49,30,College Degree,Male,Upper,2,White
62,2004,4,Work For Someone Else,40,31,College Degree,Male,Middle,4,White
63,2004,3,Work For Someone Else,40,35,Grad/Prof Degree,Female,Middle,5,Other
64,2004,NA,Self Employed,42,29,College Degree,Male,Middle,NA,Other
65,2004,2,Self Employed,55,31,Grad/Prof Degree,Male,Upper,4,Other
66,2004,4,Work For Someone Else,48,30,Grad/Prof Degree,Female,Upper,5,White
67,2004,NA,Work For Someone Else,70,21,HS Diploma,Female,Middle,NA,White
68,2004,NA,Work For Someone Else,NA,NA,Some College,Female,Middle,NA,White
69,2004,0,Work For Someone Else,57,30,Grad/Prof Degree,Female,Upper,6,White
70,2004,3,Self Employed,59,NA,Grad/Prof Degree,Female,Working,5,White
71,2004,1,Self Employed,38,NA,College Degree,Female,Middle,4,Black
72,2004,1,Work For Someone Else,33,24,College Degree,Female,Working,7,Black
73,2004,NA,Work For Someone Else,53,30,Grad/Prof Degree,Female,Middle,NA,White
74,2004,4,Work For Someone Else,45,24,HS Diploma,Female,Middle,5,Black
75,2004,0,Work For Someone Else,41,27,Some College,Female,Working,4,Black
76,2004,NA,Work For Someone Else,25,NA,HS Diploma,Female,Middle,NA,Other
77,2004,NA,Work For Someone Else,26,NA,College Degree,Male,Working,NA,White
78,2004,NA,Self Employed,57,32,Grad/Prof Degree,Male,Middle,NA,Other
79,2004,0,Work For Someone Else,57,38,Less Than HS,Female,Working,2,Hispanic
80,2004,1,Work For Someone Else,66,NA,Grad/Prof Degree,Female,Middle,6,White
81,2004,NA,Work For Someone Else,39,NA,College Degree,Female,Working,NA,Black
82,2004,NA,Work For Someone Else,43,21,HS Diploma,Male,Working,NA,Hispanic
83,2004,2,Work For Someone Else,30,28,College Degree,Female,Middle,1,Hispanic
84,2004,6,Work For Someone Else,48,27,College Degree,Male,Middle,6,White
85,2004,NA,Work For Someone Else,45,NA,College Degree,Male,Middle,NA,White
86,2004,NA,Work For Someone Else,45,NA,HS Diploma,Male,Middle,NA,White
87,2004,0,Self Employed,32,NA,College Degree,Male,Middle,1,Other
88,2004,NA,NA,22,NA,HS Diploma,Female,Working,NA,Hispanic
89,2004,5,Work For Someone Else,33,32,College Degree,Male,Middle,0,Other
90,2004,4,Work For Someone Else,69,25,HS Diploma,Female,Middle,6,White
91,2004,NA,Self Employed,43,NA,College Degree,Female,Middle,NA,Hispanic
92,2004,0,Work For Someone Else,31,30,College Degree,Male,Middle,3,Other
93,2004,0,Work For Someone Else,31,30,Some College,Male,Middle,1,Other
94,2004,0,Work For Someone Else,45,33,HS Diploma,Female,Middle,0,White
95,2004,1,Work For Someone Else,79,22,HS Diploma,Female,Working,3,White
96,2004,0,Work For Someone Else,18,NA,HS Diploma,Female,Middle,1,White
97,2004,NA,Work For Someone Else,55,20,HS Diploma,Female,Working,NA,White
98,2004,NA,Work For Someone Else,63,25,HS Diploma,Male,Lower,NA,White
99,2004,2,Work For Someone Else,63,22,HS Diploma,Male,Working,2,White
100,2004,NA,Work For Someone Else,37,19,HS Diploma,Female,Lower,NA,Hispanic
101,2004,NA,Work For Someone Else,31,NA,Grad/Prof Degree,Male,Middle,NA,White
102,2004,NA,Work For Someone Else,33,32,Grad/Prof Degree,Female,Middle,NA,Black
103,2004,1,Work For Someone Else,37,30,College Degree,Female,Working,4,White
104,2004,NA,Work For Someone Else,29,27,College Degree,Female,Middle,NA,Other
105,2004,2,NA,33,19,Some College,Female,Working,4,Other
106,2004,3,Work For Someone Else,50,31,College Degree,Female,Middle,4,White
107,2004,NA,Work For Someone Else,39,19,Less Than HS,Male,Middle,NA,White
108,2004,NA,Work For Someone Else,42,17,Less Than HS,Male,Upper,NA,White
109,2004,NA,Work For Someone Else,35,NA,HS Diploma,Male,Working,NA,White
110,2004,1,Work For Someone Else,57,18,HS Diploma,Female,Working,5,Hispanic
111,2004,NA,Work For Someone Else,57,22,HS Diploma,Male,Middle,NA,Black
112,2004,3,Work For Someone Else,60,40,Less Than HS,Male,Working,1,White
113,2004,0,NA,74,20,HS Diploma,Female,Middle,2,White
114,2004,NA,Work For Someone Else,86,24,Less Than HS,Female,Working,NA,White
115,2004,NA,Work For Someone Else,28,19,HS Diploma,Female,Middle,NA,Hispanic
116,2004,3,Work For Someone Else,34,NA,Grad/Prof Degree,Female,Middle,2,Hispanic
117,2004,1,Work For Someone Else,60,27,Grad/Prof Degree,Male,Middle,6,White
118,2004,NA,Work For Someone Else,49,21,HS Diploma,Male,Working,NA,Hispanic
119,2004,NA,Work For Someone Else,52,NA,HS Diploma,Female,Upper,NA,White
120,2004,0,Self Employed,35,NA,HS Diploma,Male,Working,4,White
121,2004,NA,Work For Someone Else,33,NA,College Degree,Female,Middle,NA,White
122,2004,0,Self Employed,35,33,College Degree,Male,Upper,3,White
123,2004,NA,Work For Someone Else,37,NA,Grad/Prof Degree,Male,Working,NA,White
124,2004,NA,Work For Someone Else,68,24,Less Than HS,Male,Working,NA,White
125,2004,3,Work For Someone Else,47,31,HS Diploma,Female,Middle,3,White
126,2004,NA,Work For Someone Else,42,NA,Some College,Male,Working,NA,White
127,2004,NA,Work For Someone Else,56,32,Grad/Prof Degree,Male,Middle,NA,White
128,2004,NA,Work For Someone Else,57,22,Grad/Prof Degree,Female,Middle,NA,White
129,2004,4,Work For Someone Else,62,25,HS Diploma,Male,Middle,3,White
130,2004,0,Self Employed,61,28,HS Diploma,Male,Middle,1,White
131,2004,1,Work For Someone Else,56,22,Less Than HS,Female,Working,1,White
132,2004,NA,Work For Someone Else,59,32,HS Diploma,Female,Working,NA,White
133,2004,0,Work For Someone Else,19,NA,Less Than HS,Male,Working,2,White
134,2004,NA,Work For Someone Else,40,29,HS Diploma,Male,Middle,NA,White
135,2004,5,Work For Someone Else,55,31,HS Diploma,Male,Middle,3,White
136,2004,3,Work For Someone Else,32,25,Grad/Prof Degree,Female,Middle,6,White
137,2004,NA,Work For Someone Else,46,24,College Degree,Male,Middle,NA,White
138,2004,NA,Work For Someone Else,23,NA,HS Diploma,Male,Upper,NA,White
139,2004,0,Work For Someone Else,50,NA,HS Diploma,Male,Working,4,Hispanic
140,2004,2,Work For Someone Else,24,19,HS Diploma,Female,Working,5,Hispanic
141,2004,NA,Work For Someone Else,52,22,College Degree,Female,NA,NA,Other
142,2004,NA,Work For Someone Else,51,18,HS Diploma,Female,Working,NA,White
143,2004,0,Work For Someone Else,50,NA,HS Diploma,Female,Middle,1,White
144,2004,4,Work For Someone Else,55,NA,College Degree,Female,Working,6,White
145,2004,NA,Work For Someone Else,21,NA,HS Diploma,Male,Working,NA,White
146,2004,0,Self Employed,49,35,HS Diploma,Male,Middle,3,White
147,2004,NA,Self Employed,61,26,Grad/Prof Degree,Male,Upper,NA,White
148,2004,NA,Work For Someone Else,21,NA,HS Diploma,Male,Middle,NA,White
149,2004,0,Self Employed,28,NA,HS Diploma,Male,Working,1,White
150,2004,NA,Work For Someone Else,45,NA,College Degree,Female,Working,NA,White
151,2004,2,Work For Someone Else,61,30,Less Than HS,Male,Middle,0,Hispanic
152,2004,1,Work For Someone Else,35,NA,HS Diploma,Female,Working,3,White
153,2004,NA,NA,32,NA,HS Diploma,Female,Middle,NA,Other
154,2004,NA,Work For Someone Else,31,30,Grad/Prof Degree,Female,Middle,NA,White
155,2004,1,Work For Someone Else,32,NA,College Degree,Male,Middle,0,White
156,2004,1,Work For Someone Else,58,28,HS Diploma,Male,Middle,1,White
157,2004,NA,NA,33,24,College Degree,Female,Middle,NA,Hispanic
158,2004,NA,Work For Someone Else,51,19,Grad/Prof Degree,Female,Working,NA,White
159,2004,2,Work For Someone Else,33,27,Grad/Prof Degree,Male,Middle,2,White
160,2004,3,Work For Someone Else,58,31,HS Diploma,Male,Working,6,White
161,2004,NA,Work For Someone Else,25,NA,HS Diploma,Male,Working,NA,White
162,2004,NA,Work For Someone Else,28,25,Grad/Prof Degree,Female,Middle,NA,Hispanic
163,2004,1,Work For Someone Else,33,32,College Degree,Male,Middle,3,Hispanic
164,2004,NA,Work For Someone Else,37,32,Some College,Male,Middle,NA,Hispanic
165,2004,NA,Work For Someone Else,29,19,HS Diploma,Female,Middle,NA,Hispanic
166,2004,1,Work For Someone Else,25,19,Less Than HS,Male,Working,1,Hispanic
167,2004,NA,Work For Someone Else,50,NA,Some College,Male,Working,NA,White
168,2004,1,Work For Someone Else,NA,23,College Degree,Female,Middle,1,White
169,2004,3,Self Employed,63,22,College Degree,Male,Middle,4,White
170,2004,NA,Work For Someone Else,46,NA,HS Diploma,Male,Middle,NA,Black
171,2004,3,Work For Someone Else,67,25,College Degree,Male,Upper,5,White
172,2004,NA,Work For Someone Else,55,19,Some College,Male,Middle,NA,White
173,2004,NA,Work For Someone Else,34,30,College Degree,Male,Middle,NA,Other
174,2004,NA,Work For Someone Else,34,NA,Some College,Female,Middle,NA,Other
175,2004,NA,Work For Someone Else,26,19,Some College,Female,Working,NA,White
176,2004,1,Work For Someone Else,31,NA,College Degree,Female,Middle,5,White
177,2004,0,Work For Someone Else,74,25,Grad/Prof Degree,Male,Middle,5,White
178,2004,4,Self Employed,62,33,College Degree,Male,Upper,4,White
179,2004,NA,Work For Someone Else,44,33,College Degree,Male,Working,NA,White
180,2004,NA,Work For Someone Else,35,NA,HS Diploma,Male,Working,NA,Hispanic
181,2004,1,Work For Someone Else,38,20,HS Diploma,Female,Working,3,Black
182,2004,0,Work For Someone Else,69,22,HS Diploma,Male,Middle,2,White
183,2004,0,Work For Someone Else,35,20,Less Than HS,Male,Working,0,Hispanic
184,2004,0,Work For Someone Else,59,20,HS Diploma,Female,Lower,1,Hispanic
185,2004,0,Work For Someone Else,76,26,HS Diploma,Male,Middle,1,White
186,2004,NA,Work For Someone Else,62,23,Some College,Male,Middle,NA,White
187,2004,NA,Work For Someone Else,70,29,HS Diploma,Male,Middle,NA,Hispanic
188,2004,NA,Work For Someone Else,69,29,HS Diploma,Female,Middle,NA,White
189,2004,0,Self Employed,NA,19,HS Diploma,Male,Lower,0,White
190,2004,NA,Work For Someone Else,70,22,HS Diploma,Female,Working,NA,White
191,2004,0,Self Employed,79,19,HS Diploma,Female,Working,4,White
192,2004,NA,NA,56,22,HS Diploma,Male,Middle,NA,White
193,2004,0,Work For Someone Else,47,29,HS Diploma,Male,Middle,2,White
194,2004,6,Self Employed,62,NA,Less Than HS,Male,Middle,6,White
195,2004,NA,Work For Someone Else,56,26,HS Diploma,Female,Middle,NA,White
196,2004,NA,Self Employed,27,21,HS Diploma,Male,Working,NA,White
197,2004,NA,Self Employed,30,24,HS Diploma,Male,Working,NA,Hispanic
198,2004,0,Work For Someone Else,30,NA,HS Diploma,Male,Middle,1,White
199,2004,3,Work For Someone Else,64,NA,HS Diploma,Female,Middle,5,White
200,2004,NA,Work For Someone Else,36,32,College Degree,Female,Middle,NA,Other
201,2004,NA,Self Employed,27,NA,HS Diploma,Female,Working,NA,White
202,2004,1,Work For Someone Else,18,NA,HS Diploma,Male,Middle,2,White
203,2004,0,Self Employed,64,21,Some College,Male,Middle,3,White
204,2004,1,Work For Someone Else,38,21,Some College,Female,Working,3,Hispanic
205,2004,0,Work For Someone Else,49,22,HS Diploma,Male,Middle,0,White
206,2004,0,Work For Someone Else,28,NA,HS Diploma,Male,Working,1,White
207,2004,0,Work For Someone Else,24,22,Less Than HS,Male,Working,1,Hispanic
208,2004,NA,Work For Someone Else,36,19,HS Diploma,Female,Middle,NA,Hispanic
209,2004,NA,Work For Someone Else,41,18,HS Diploma,Female,Working,NA,Black
210,2004,2,Work For Someone Else,24,NA,Some College,Male,Working,2,Hispanic
211,2004,2,Work For Someone Else,28,NA,HS Diploma,Male,Working,6,Other
212,2004,0,Self Employed,51,25,Less Than HS,Male,Working,1,Other
213,2004,NA,Work For Someone Else,20,NA,HS Diploma,Male,Working,NA,Other
214,2004,0,Work For Someone Else,30,NA,HS Diploma,Female,Working,0,Hispanic
215,2004,NA,Self Employed,56,22,Some College,Male,Working,NA,Hispanic
216,2004,3,Work For Someone Else,44,16,HS Diploma,Female,Working,0,Hispanic
217,2004,NA,Work For Someone Else,38,NA,Less Than HS,Female,Lower,NA,Hispanic
218,2004,2,Work For Someone Else,34,NA,College Degree,Female,Middle,8,White
219,2004,NA,NA,21,NA,HS Diploma,Male,Middle,NA,White
220,2004,2,Self Employed,31,27,HS Diploma,Male,Middle,1,White
221,2004,NA,Work For Someone Else,23,NA,HS Diploma,Male,Middle,NA,Other
222,2004,NA,Work For Someone Else,45,30,HS Diploma,Male,Working,NA,Other
223,2004,3,Work For Someone Else,55,23,College Degree,Male,Middle,7,Hispanic
224,2004,NA,Work For Someone Else,56,29,HS Diploma,Female,Middle,NA,White
225,2004,2,Work For Someone Else,23,NA,HS Diploma,Male,Working,0,Black
226,2004,NA,Work For Someone Else,61,NA,College Degree,Female,Middle,NA,Other
227,2004,1,Work For Someone Else,36,17,Less Than HS,Male,Middle,0,Hispanic
228,2004,NA,Work For Someone Else,20,NA,HS Diploma,Male,Working,NA,White
229,2004,5,Work For Someone Else,26,20,HS Diploma,Female,Working,4,Hispanic
230,2004,0,Work For Someone Else,33,18,HS Diploma,Female,Lower,0,Hispanic
231,2004,NA,Work For Someone Else,28,21,HS Diploma,Female,Working,NA,Hispanic
232,2004,NA,Work For Someone Else,29,NA,College Degree,Male,Working,NA,Other
233,2004,2,Self Employed,57,NA,College Degree,Male,Middle,6,White
234,2004,NA,Self Employed,25,NA,College Degree,Female,Working,NA,Hispanic
235,2004,4,Work For Someone Else,64,16,HS Diploma,Female,Middle,5,White
236,2004,NA,Work For Someone Else,37,NA,HS Diploma,Male,Working,NA,White
237,2004,1,Work For Someone Else,26,NA,HS Diploma,Female,Middle,0,Hispanic
238,2004,3,Work For Someone Else,28,NA,College Degree,Female,Middle,5,Hispanic
239,2004,2,Work For Someone Else,41,29,HS Diploma,Female,Middle,1,White
240,2004,0,Work For Someone Else,70,24,HS Diploma,Male,Middle,4,White
241,2004,NA,Work For Someone Else,57,NA,Some College,Female,Middle,NA,White
242,2004,NA,Work For Someone Else,48,35,Some College,Male,Working,NA,White
243,2004,6,Work For Someone Else,40,40,Grad/Prof Degree,Male,Middle,4,Black
244,2004,NA,Work For Someone Else,27,NA,Less Than HS,Male,Working,NA,Hispanic
245,2004,NA,Work For Someone Else,43,20,Less Than HS,Female,Working,NA,Hispanic
246,2004,NA,Work For Someone Else,61,19,HS Diploma,Female,Middle,NA,White
247,2004,NA,NA,43,13,Less Than HS,Female,Middle,NA,Hispanic
248,2004,0,Work For Someone Else,62,20,HS Diploma,Female,Lower,3,White
249,2004,NA,Self Employed,64,19,Less Than HS,Female,Middle,NA,White
250,2004,1,Work For Someone Else,59,30,Grad/Prof Degree,Female,Middle,3,White
251,2004,NA,Work For Someone Else,39,27,HS Diploma,Female,Middle,NA,White
252,2004,0,Self Employed,62,19,Less Than HS,Male,Middle,2,White
253,2004,4,Work For Someone Else,49,27,Grad/Prof Degree,Female,Middle,4,White
254,2004,NA,Work For Someone Else,84,20,HS Diploma,Female,Middle,NA,White
255,2004,1,NA,44,NA,HS Diploma,Male,Lower,0,Hispanic
256,2004,NA,Work For Someone Else,40,24,College Degree,Female,Working,NA,White
257,2004,NA,Self Employed,39,NA,College Degree,Female,Middle,NA,White
258,2004,3,Self Employed,50,NA,HS Diploma,Male,Middle,0,White
259,2004,3,Work For Someone Else,44,37,Grad/Prof Degree,Female,Upper,6,White
260,2004,0,Work For Someone Else,28,NA,College Degree,Male,Middle,5,White
261,2004,4,Work For Someone Else,24,NA,College Degree,Female,Working,0,Hispanic
262,2004,4,Work For Someone Else,20,NA,HS Diploma,Male,Middle,5,Hispanic
263,2004,NA,Work For Someone Else,22,NA,College Degree,Male,Working,NA,Hispanic
264,2004,0,Work For Someone Else,38,NA,HS Diploma,Male,Middle,1,Hispanic
265,2004,NA,Work For Someone Else,69,16,Less Than HS,Female,Upper,NA,Black
266,2004,0,Work For Someone Else,24,23,HS Diploma,Female,Working,2,Black
267,2004,1,Work For Someone Else,54,17,HS Diploma,Female,Working,3,Black
268,2004,8,Work For Someone Else,49,NA,Grad/Prof Degree,Male,Middle,5,White
269,2004,0,Work For Someone Else,32,29,College Degree,Female,Working,2,White
270,2004,0,Work For Someone Else,27,NA,College Degree,Female,Middle,0,White
271,2004,0,Work For Someone Else,25,NA,Some College,Male,Working,1,Hispanic
272,2004,NA,Work For Someone Else,45,42,College Degree,Female,Middle,NA,White
273,2004,2,Work For Someone Else,18,NA,HS Diploma,Female,Working,0,Hispanic
274,2004,NA,Work For Someone Else,25,21,HS Diploma,Female,Working,NA,Hispanic
275,2004,NA,NA,22,NA,HS Diploma,Female,Working,NA,White
276,2004,0,Work For Someone Else,36,21,HS Diploma,Female,Middle,1,White
277,2004,2,Work For Someone Else,19,NA,HS Diploma,Male,Working,0,White
278,2004,1,Work For Someone Else,60,NA,College Degree,Female,Middle,8,White
279,2004,NA,Work For Someone Else,25,NA,College Degree,Female,Middle,NA,White
280,2004,2,Work For Someone Else,39,NA,Grad/Prof Degree,Female,Middle,2,White
281,2004,2,Work For Someone Else,28,NA,College Degree,Male,Middle,3,White
282,2004,NA,Work For Someone Else,43,NA,HS Diploma,Female,Working,NA,White
283,2004,NA,Self Employed,56,NA,College Degree,Female,Middle,NA,White
284,2004,3,Work For Someone Else,42,27,Grad/Prof Degree,Female,Middle,2,White
285,2004,6,Self Employed,46,28,College Degree,Male,Middle,3,White
286,2004,NA,NA,41,37,NA,Female,NA,NA,White
287,2004,0,Work For Someone Else,35,27,College Degree,Female,Working,1,White
288,2004,NA,Work For Someone Else,57,38,HS Diploma,Female,Middle,NA,White
289,2004,0,Work For Someone Else,53,22,College Degree,Female,Working,2,White
290,2004,1,Work For Someone Else,50,39,HS Diploma,Female,Middle,2,White
291,2004,NA,Work For Someone Else,76,25,Less Than HS,Female,Upper,NA,White
292,2004,3,Work For Someone Else,45,22,HS Diploma,Female,Middle,1,White
293,2004,NA,Work For Someone Else,66,20,HS Diploma,Female,Middle,NA,White
294,2004,2,Self Employed,49,33,HS Diploma,Male,Middle,1,White
295,2004,NA,Work For Someone Else,67,22,HS Diploma,Female,Working,NA,White
296,2004,2,Work For Someone Else,25,NA,College Degree,Female,Middle,2,White
297,2004,NA,Work For Someone Else,70,NA,HS Diploma,Female,Middle,NA,White
298,2004,NA,Work For Someone Else,77,21,HS Diploma,Male,Working,NA,White
299,2004,0,Work For Someone Else,46,NA,College Degree,Male,Middle,3,White
300,2004,1,Work For Someone Else,23,NA,Some College,Male,Middle,5,White
301,2004,4,Work For Someone Else,39,28,College Degree,Female,Middle,6,White
302,2004,0,Work For Someone Else,22,NA,HS Diploma,Female,Middle,1,Other
303,2004,NA,Work For Someone Else,46,18,HS Diploma,Female,Working,NA,Black
304,2004,NA,Work For Someone Else,78,28,Some College,Female,Middle,NA,White
305,2004,0,Work For Someone Else,46,40,HS Diploma,Male,Middle,2,Hispanic
306,2004,NA,Work For Someone Else,36,25,Some College,Female,Middle,NA,Other
307,2004,NA,Work For Someone Else,53,NA,HS Diploma,Female,Working,NA,White
308,2004,NA,Self Employed,67,18,HS Diploma,Female,Working,NA,White
309,2004,0,Work For Someone Else,41,35,HS Diploma,Male,Working,0,White
310,2004,NA,Work For Someone Else,22,NA,Some College,Female,Working,NA,Other
311,2004,NA,Work For Someone Else,63,22,HS Diploma,Female,Middle,NA,White
312,2004,NA,Self Employed,62,17,HS Diploma,Female,Working,NA,White
313,2004,0,Work For Someone Else,56,24,HS Diploma,Male,Middle,2,White
314,2004,1,Work For Someone Else,18,NA,Less Than HS,Male,Middle,2,White
315,2004,NA,Self Employed,36,34,Grad/Prof Degree,Male,Middle,NA,Other
316,2004,3,Work For Someone Else,50,24,College Degree,Female,Middle,4,White
317,2004,0,Work For Someone Else,48,28,HS Diploma,Male,Middle,0,White
318,2004,NA,Self Employed,34,28,HS Diploma,Female,Working,NA,White
319,2004,NA,Self Employed,40,31,Grad/Prof Degree,Female,Upper,NA,Other
320,2004,0,Work For Someone Else,60,25,HS Diploma,Male,Middle,3,White
321,2004,NA,Self Employed,26,NA,College Degree,Male,Working,NA,White
322,2004,0,Work For Someone Else,43,37,Less Than HS,Male,Middle,0,White
323,2004,4,Self Employed,52,19,Some College,Female,Middle,4,White
324,2004,0,Work For Someone Else,24,22,HS Diploma,Female,Working,0,Black
325,2004,NA,Work For Someone Else,31,21,HS Diploma,Female,Working,NA,Black
326,2004,0,Work For Someone Else,62,20,Some College,Male,Middle,6,Black
327,2004,NA,Work For Someone Else,36,18,HS Diploma,Female,Working,NA,Black
328,2004,0,Work For Someone Else,37,35,College Degree,Female,Working,2,White
329,2004,NA,Work For Someone Else,37,20,HS Diploma,Female,Working,NA,Black
330,2004,8,Work For Someone Else,54,22,Some College,Male,Lower,2,Black
331,2004,0,Work For Someone Else,24,21,HS Diploma,Female,Lower,0,Black
332,2004,NA,Work For Someone Else,19,NA,HS Diploma,Male,Working,NA,Hispanic
333,2004,0,Work For Someone Else,35,18,HS Diploma,Male,Middle,0,Black
334,2004,NA,NA,27,NA,HS Diploma,Female,Working,NA,Hispanic
335,2004,0,Self Employed,49,17,HS Diploma,Female,Working,4,Other
336,2004,7,NA,24,NA,College Degree,Male,Middle,5,White
337,2004,0,Work For Someone Else,50,NA,Grad/Prof Degree,Female,Middle,2,White
338,2004,NA,Self Employed,74,NA,College Degree,Male,Working,NA,Other
339,2004,2,Work For Someone Else,41,30,College Degree,Male,Middle,1,White
340,2004,7,Work For Someone Else,82,21,College Degree,Female,Middle,0,White
341,2004,NA,Self Employed,47,28,HS Diploma,Female,Working,NA,White
342,2004,2,Work For Someone Else,44,34,Grad/Prof Degree,Male,Middle,1,Other
343,2004,NA,Self Employed,36,24,Less Than HS,Female,Middle,NA,White
344,2004,0,Work For Someone Else,28,24,HS Diploma,Female,Middle,0,Hispanic
345,2004,0,Work For Someone Else,33,18,HS Diploma,Female,Middle,0,White
346,2004,0,Self Employed,40,NA,HS Diploma,Male,Working,1,White
347,2004,NA,Work For Someone Else,41,34,HS Diploma,Male,Upper,NA,White
348,2004,NA,Self Employed,35,28,HS Diploma,Female,Middle,NA,White
349,2004,0,Work For Someone Else,41,19,HS Diploma,Female,Lower,2,Hispanic
350,2004,4,Self Employed,58,32,College Degree,Male,Middle,6,White
351,2004,NA,NA,81,22,Less Than HS,Female,Working,NA,White
352,2004,NA,Work For Someone Else,55,24,College Degree,Female,Working,NA,White
353,2004,4,Work For Someone Else,37,28,College Degree,Female,Middle,3,White
354,2004,2,Work For Someone Else,67,22,HS Diploma,Male,Middle,5,White
355,2004,0,Work For Someone Else,46,24,HS Diploma,Female,Working,6,Other
356,2004,2,Work For Someone Else,35,NA,HS Diploma,Male,Middle,3,White
357,2004,NA,NA,76,27,Less Than HS,Female,Working,NA,Hispanic
358,2004,1,Self Employed,81,22,HS Diploma,Male,Middle,3,White
