"qkey","gender","use_facebook","use_twitter","news_social_media","age_cat","educ_cat","racethn","news_trust","ideology","misinformation"
"136411","Man",0,0,"Never","50-64","College Grad+","White","Not at all","Moderate",2
"136999","Woman",1,0,"Sometimes","65+","Some College","White","Not too much","Conservative",2
"141442","Man",NA,NA,"Never","65+","College Grad+","White","Not too much","Conservative",2
"141878","Woman",1,0,"Sometimes","65+","Some College","White","Not too much","Moderate",2
"142398","Woman",1,0,"Never","50-64","College Grad+","White","Not at all","Liberal",2
"144036","Woman",0,0,"Never","50-64","Some College","White","Not at all","Very Conservative",2
"145364","Man",1,1,"Sometimes","50-64","HS Grad or Less","White","Not too much","Conservative",2
"148162","Man",0,0,"Never","50-64","College Grad+","White","Not at all","Very Conservative",2
"151972","Man",0,0,"Sometimes","65+","College Grad+","White","Not at all","Very Conservative",2
"152324","Woman",1,0,"Rarely","65+","College Grad+","White","Some","Liberal",2
"154730","Man",1,0,"Never","65+","College Grad+","Black","Not at all","Conservative",2
"154874","Woman",1,0,"Rarely","65+","Some College","White","Not too much","Conservative",2
"157570","Woman",1,0,"Never","65+","HS Grad or Less","White","Not too much","Moderate",2
"157877","Man",1,0,"Sometimes","65+","College Grad+","White","Not too much","Very Conservative",2
"159997","Man",0,0,"Rarely","50-64","College Grad+","White","Some","Conservative",2
"161130","Woman",1,0,"Never","50-64","Some College","White","Not at all","Conservative",1
"162028","Woman",1,1,"Sometimes","65+","Some College","Black","Some","Very Liberal",2
"164425","Man",1,0,"Sometimes","65+","HS Grad or Less","White","Not too much","Liberal",1
"167094","Woman",1,1,"Rarely","50-64","College Grad+","White","Not too much","Conservative",2
"170940","Woman",1,1,"Never","65+","Some College","White","Not at all","Very Conservative",2
"171076","Man",0,0,"Never","50-64","College Grad+","White","Not at all","Moderate",1
"172231","Woman",1,1,"Sometimes","65+","College Grad+","White","Not too much","Conservative",2
"174032","Man",1,0,"Never","50-64","HS Grad or Less","White","Not at all","Very Conservative",2
"175363","Man",1,0,"Sometimes","50-64","College Grad+","White","Some","Conservative",2
"176680","Woman",1,0,"Sometimes","50-64","Some College","White","Some","Very Conservative",2
"176890","Man",0,0,"Never","65+","College Grad+","White","Not at all","Moderate",1
"176940","Woman",0,0,"Never","65+","Some College","White","Not at all","Moderate",1
"181067","Man",1,1,"Sometimes","50-64","Some College","White","Not too much","Moderate",1
"181690","Man",0,1,"Never","30-49","College Grad+","White","Not at all","Moderate",2
"182804","Man",1,1,"Never","30-49","College Grad+","White","Not at all","Moderate",2
"183145","Woman",1,1,"Rarely","65+","Some College","White","Not too much","Moderate",2
"184045","Woman",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",1
"185008","Man",NA,NA,"Never","50-64","College Grad+","White","Some","Moderate",2
"185394","Man",1,0,"Often","50-64","College Grad+","Asian","Some","Very Liberal",2
"185416","Woman",1,0,"Sometimes","30-49","Some College","White","Not at all","Conservative",2
"186956","Woman",1,0,"Never","50-64","College Grad+","White","Not too much","Very Conservative",2
"187312","Woman",1,0,"Sometimes","50-64","HS Grad or Less","White","Not too much","Moderate",1
"188245","Woman",0,1,"Sometimes","65+","HS Grad or Less","White","Not too much","Moderate",2
"188516","Woman",0,0,"Never","50-64","Some College","White","Not at all","Conservative",2
"189213","Man",1,1,"Never","65+","College Grad+","White","Not too much","Liberal",1
"191336","Man",1,0,"Rarely","50-64","HS Grad or Less","White","Not too much","Liberal",1
"192213","Man",1,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"192474","Woman",1,0,"Sometimes","30-49","Some College","White","Not too much","Conservative",2
"193545","Woman",1,0,"Never","30-49","HS Grad or Less","Hispanic","Not too much","Moderate",1
"194284","Man",1,1,"Sometimes","50-64","College Grad+","White","A lot","Conservative",2
"194634","Woman",1,0,"Rarely","50-64","HS Grad or Less","White","Not at all","Conservative",2
"194718","Woman",1,0,"Never","65+","Some College","White","Not too much","Very Conservative",2
"194860","Woman",1,0,"Never","65+","College Grad+","White","Not too much","Very Conservative",2
"195349","Man",1,0,"Rarely","50-64","Some College","White","Not too much","Moderate",2
"195373","Man",0,1,"Sometimes","50-64","Some College","White","Not too much","Moderate",2
"196610","Woman",1,0,"Sometimes","50-64","College Grad+","Asian","Some","Moderate",1
"196813","Woman",1,0,"Sometimes","50-64","Some College","White","Not too much","Moderate",1
"197087","Man",0,0,"Never","65+","HS Grad or Less","White","Not at all","Moderate",1
"198176","Woman",1,1,"Often","65+","Some College","White","Not too much","Very Liberal",1
"198205","Man",1,0,"Rarely","50-64","HS Grad or Less","White","Not at all","Conservative",2
"198208","Man",0,0,"Never","65+","College Grad+","White","Not at all","Conservative",2
"198295","Man",1,0,"Never","65+","College Grad+","White","Not too much","Liberal",2
"198321","Man",1,0,"Rarely","30-49","Some College","White","Not at all","Conservative",2
"198449","Man",1,1,"Rarely","50-64","College Grad+","White","Not too much","Liberal",1
"199474","Man",1,0,"Rarely","50-64","Some College","White","Not too much","Very Conservative",2
"199964","Woman",1,1,"Never","65+","Some College","White","Not at all","Very Conservative",1
"200312","Man",0,0,"Sometimes","65+","Some College","Other","Not at all","Conservative",2
"201153","Woman",0,0,"Never","65+","Some College","Black","Not at all","Moderate",1
"202145","Man",0,0,"Sometimes","30-49","College Grad+","White","Some","Liberal",2
"202467","Woman",1,0,"Sometimes","50-64","College Grad+","White","Not too much","Very Conservative",2
"202545","Woman",1,0,"Rarely","65+","College Grad+","White","Not at all","Conservative",2
"202849","Man",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",2
"203469","Woman",0,0,"Rarely","50-64","Some College","White","Not too much","Moderate",1
"204164","Man",1,0,"Rarely","50-64","Some College","Hispanic","Not too much","Moderate",2
"204354","Man",1,0,"Rarely","50-64","College Grad+","White","Not too much","Moderate",2
"204601","Woman",1,0,"Rarely","30-49","College Grad+","White","Some","Moderate",1
"204832","Woman",1,0,"Rarely","65+","HS Grad or Less","White","Not too much","Moderate",2
"205459","Woman",1,0,"Rarely","65+","HS Grad or Less","White","Not too much","Conservative",1
"205490","Woman",1,0,"Sometimes","50-64","HS Grad or Less","Black","Not at all","Moderate",1
"207502","Woman",1,0,"Sometimes","50-64","College Grad+","Black","Some","Moderate",2
"209589","Man",1,0,"Sometimes","65+","College Grad+","Other","Not too much","Moderate",2
"211074","Man",0,0,"Never","65+","Some College","White","Not at all","Conservative",2
"211378","Woman",0,0,"Never","30-49","College Grad+","White","Not too much","Very Liberal",2
"211504","Man",0,0,"Never","50-64","College Grad+","White","Not too much","Conservative",2
"211788","Woman",1,0,"Never","65+","College Grad+","White","Not at all","Liberal",1
"212322","Man",1,1,"Never","50-64","College Grad+","White","Not too much","Moderate",2
"212492","Man",1,0,"Rarely","65+","Some College","White","Not too much","Moderate",1
"212597","Woman",1,0,"Never","30-49","College Grad+","White","Not at all","Moderate",1
"213161","Woman",1,1,"Sometimes","65+","College Grad+","Other","Not too much","Moderate",1
"213456","Woman",1,0,"Never","50-64","College Grad+","White","Not at all","Conservative",1
"214437","Man",1,0,"Sometimes","65+","College Grad+","White","Not at all","Conservative",2
"214778","Woman",1,0,"Rarely","65+","College Grad+","White","Not too much","Very Conservative",2
"216156","Man",1,0,"Sometimes","30-49","College Grad+","White","Some","Conservative",2
"217659","Woman",1,1,"Sometimes","50-64","Some College","Black","Some","Moderate",1
"219223","Woman",1,0,"Sometimes","65+","College Grad+","White","Not too much","Conservative",2
"219306","Woman",0,1,"Never","30-49","College Grad+","White","Not too much","Conservative",2
"219679","Woman",0,0,"Never","65+","Some College","White","Not at all","Conservative",2
"223028","Woman",1,1,"Often","50-64","College Grad+","Hispanic","Not too much","Liberal",1
"223257","Man",1,0,"Never","30-49","College Grad+","Asian","Not at all","Moderate",1
"225532","Man",0,0,"Never","30-49","Some College","White","Not at all","Very Liberal",1
"227117","Woman",1,0,"Often","65+","Some College","White","Not too much","Conservative",2
"227892","Woman",1,0,"Sometimes","50-64","College Grad+","White","Not too much","Very Conservative",2
"228797","Man",0,1,"Sometimes","50-64","HS Grad or Less","White","Not too much","Conservative",1
"229561","Woman",1,0,"Sometimes","50-64","College Grad+","White","Not too much","Conservative",2
"230027","Woman",1,1,"Rarely","50-64","Some College","White","Some","Moderate",2
"230587","Man",1,0,"Never","50-64","HS Grad or Less","White","Not at all","Conservative",1
"231073","Woman",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",2
"233296","Woman",0,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"234001","Woman",0,0,"Never","65+","College Grad+","White","Not at all","Conservative",2
"234064","Man",0,1,"Rarely","30-49","College Grad+","White","Not too much","Liberal",1
"234834","Woman",1,0,"Sometimes","50-64","HS Grad or Less","White","Not at all","Moderate",1
"235304","Woman",1,0,"Rarely","50-64","Some College","White","Not at all","Moderate",2
"235397","Man",1,0,"Rarely","50-64","Some College","White","Not too much","Moderate",1
"235578","Man",0,0,"Never","30-49","College Grad+","Hispanic","Not at all","Conservative",1
"235839","Woman",1,0,"Rarely","65+","College Grad+","White","Not too much","Conservative",1
"236237","Woman",1,1,"Rarely","65+","Some College","Black","Not too much","Moderate",2
"238030","Man",1,1,"Rarely","30-49","Some College","White","Not too much","Moderate",2
"238140","Man",1,1,"Sometimes","65+","Some College","White","Not at all","Very Conservative",2
"239268","Woman",1,0,"Sometimes","50-64","Some College","White","Not too much","Moderate",2
"242029","Man",1,0,"Never","65+","Some College","White","Not too much","Liberal",2
"242242","Woman",0,0,"Never","50-64","Some College","White","Not at all","Liberal",1
"243060","Man",0,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"243353","Woman",1,0,"Never","65+","College Grad+","White","Not too much","Very Conservative",1
"244331","Man",1,0,"Rarely","50-64","College Grad+","White","Not at all","Conservative",2
"244539","Woman",0,0,"Never","65+","HS Grad or Less","White","Not at all","Very Conservative",2
"249540","Man",1,1,"Sometimes","65+","College Grad+","White","Not at all","Conservative",2
"274171","Man",0,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"274495","Man",0,1,"Often","30-49","College Grad+","White","Not too much","Moderate",2
"275824","Man",1,1,"Never","30-49","College Grad+","White","Not at all","Moderate",1
"276046","Man",1,0,"Sometimes","65+","College Grad+","White","Not at all","Conservative",2
"278114","Woman",0,0,"Never","30-49","College Grad+","White","Not at all","Very Conservative",2
"279051","Woman",1,NA,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"280034","Man",1,1,"Rarely","30-49","College Grad+","Black","Some","Moderate",1
"280165","Man",0,0,"Never","50-64","Some College","White","Not at all","Very Conservative",2
"280916","Man",1,1,"Rarely","50-64","Some College","White","Not too much","Very Liberal",2
"281163","Woman",1,0,"Rarely","65+","Some College","White","Not at all","Very Conservative",2
"281338","Man",1,NA,"Sometimes","65+","Some College","White","Some","Conservative",2
"281372","Woman",0,0,"Never","65+","Some College","White","Not too much","Conservative",1
"281718","Man",0,0,"Sometimes","30-49","College Grad+","White","Some","Moderate",2
"282372","Woman",1,1,"Never","50-64","College Grad+","White","Not at all","Very Liberal",1
"282430","Man",0,0,"Sometimes","30-49","Some College","Black","Not too much","Liberal",1
"283820","Man",0,0,"Never","50-64","College Grad+","White","Not at all","Moderate",1
"283850","Woman",1,1,"Sometimes","50-64","Some College","White","Not at all","Very Conservative",2
"285944","Woman",1,0,"Never","30-49","College Grad+","White","Not at all","Moderate",1
"286168","Man",1,0,"Sometimes","65+","HS Grad or Less","White","Some","Conservative",2
"286663","Woman",1,0,"Sometimes","50-64","HS Grad or Less","Hispanic","Not too much","Moderate",2
"289868","Woman",1,0,"Rarely","65+","College Grad+","White","Not too much","Liberal",1
"290087","Man",1,1,"Sometimes","30-49","College Grad+","White","Not too much","Moderate",2
"291097","Man",0,0,"Never","65+","College Grad+","White","Not at all","Conservative",2
"291504","Woman",1,0,"Never","65+","College Grad+","White","Not at all","Moderate",2
"292740","Man",1,0,"Often","65+","HS Grad or Less","White","Not at all","Conservative",2
"294912","Woman",1,0,"Rarely","65+","College Grad+","White","Not too much","Conservative",2
"295841","Man",1,0,"Rarely","65+","College Grad+","White","Not too much","Very Conservative",2
"296049","Woman",1,0,"Rarely","50-64","College Grad+","Black","Some","Moderate",2
"296850","Man",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",2
"298035","Man",0,0,"Never","65+","College Grad+","White","Not at all","Conservative",1
"298722","Man",1,0,"Rarely","65+","HS Grad or Less","White","Not too much","Moderate",1
"300234","Woman",1,0,"Sometimes","65+","Some College","White","Not too much","Very Conservative",2
"300761","Man",0,0,"Sometimes","65+","College Grad+","White","Not too much","Conservative",1
"301013","Woman",0,0,"Never","50-64","HS Grad or Less","White","Not at all","Very Conservative",2
"301280","Woman",1,0,"Rarely","30-49","Some College","White","Not at all","Conservative",2
"302389","Woman",1,0,"Sometimes","65+","HS Grad or Less","White","Some","Conservative",2
"302693","Woman",0,0,"Never","65+","Some College","White","Not at all","Liberal",1
"302888","Man",1,0,"Never","30-49","Some College","White","Not too much","Conservative",2
"303646","Woman",0,0,"Never","65+","College Grad+","White","Not too much","Moderate",1
"303834","Man",1,0,"Never","65+","Some College","White","Not at all","Conservative",1
"303970","Man",0,0,"Never","65+","HS Grad or Less","White","Not at all","Conservative",2
"305076","Woman",1,0,"Rarely","30-49","College Grad+","White","Not too much","Liberal",2
"306057","Man",1,1,"Rarely","65+","College Grad+","White","Not too much","Liberal",1
"306115","Woman",0,0,"Never","65+","Some College","White","Not at all","Liberal",1
"306192","Man",0,0,"Rarely","50-64","Some College","White","Not too much","Conservative",2
"307284","Woman",0,0,"Never","65+","College Grad+","White","Not too much","Conservative",2
"307718","Man",0,0,"Often","50-64","College Grad+","Asian","A lot","Moderate",2
"309053","Man",1,1,"Sometimes","18-29","College Grad+","White","Some","Moderate",2
"309533","Man",1,1,"Sometimes","50-64","College Grad+","White","Not too much","Conservative",2
"309958","Woman",0,0,"Never","65+","College Grad+","Hispanic","Not at all","Conservative",2
"310031","Man",1,1,"Sometimes","30-49","College Grad+","Black","Some","Moderate",1
"310985","Woman",1,0,"Sometimes","65+","College Grad+","White","Some","Moderate",1
"312070","Man",0,0,"Never","65+","College Grad+","White","Not at all","Conservative",2
"314294","Woman",1,0,"Sometimes","65+","College Grad+","White","Not too much","Moderate",1
"314546","Man",1,1,"Often","30-49","College Grad+","White","Not at all","Moderate",2
"315155","Woman",1,1,"Often","65+","College Grad+","White","Not at all","Moderate",2
"315188","Woman",1,0,"Rarely","30-49","College Grad+","White","A lot","Moderate",1
"315194","Man",1,0,"Never","65+","Some College","White","Not at all","Conservative",2
"315474","Woman",1,0,"Sometimes","65+","Some College","Black","Some","Liberal",2
"316726","Woman",0,0,"Never","50-64","College Grad+","White","Not at all","Very Liberal",1
"318542","Man",1,0,"Never","65+","College Grad+","White","Not at all","Conservative",2
"318653","Man",1,0,"Never","65+","College Grad+","White","Not at all","Moderate",1
"318658","Woman",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",2
"318711","Woman",1,0,"Rarely","65+","Some College","Black","Not too much","Moderate",2
"319198","Man",1,0,"Often","30-49","College Grad+","White","A lot","Liberal",2
"319246","Man",0,0,"Never","30-49","College Grad+","White","Not at all","Conservative",2
"319402","Woman",1,0,"Never","65+","HS Grad or Less","Other","Not at all","Moderate",2
"320909","Man",1,0,"Sometimes","50-64","College Grad+","White","Not too much","Liberal",1
"321679","Man",0,0,"Sometimes","65+","College Grad+","White","Some","Conservative",1
"321697","Woman",0,0,"Never","65+","Some College","White","Not at all","Conservative",2
"321873","Man",0,1,"Often","65+","College Grad+","White","Some","Liberal",2
"322957","Woman",1,1,"Never","50-64","College Grad+","White","Not at all","Very Conservative",2
"323595","Woman",1,0,"Rarely","50-64","HS Grad or Less","White","Not too much","Moderate",2
"323647","Man",1,0,"Never","65+","College Grad+","White","Not at all","Moderate",1
"324127","Woman",1,0,"Sometimes","65+","College Grad+","White","Not too much","Very Liberal",1
"326698","Woman",1,0,"Often","50-64","College Grad+","White","Not too much","Conservative",2
"327079","Man",0,0,"Never","50-64","Some College","White","Not at all","Very Liberal",2
"328696","Woman",1,1,"Sometimes","65+","HS Grad or Less","Hispanic","Not too much","Liberal",2
"329336","Woman",1,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"329545","Woman",0,0,"Never","65+","Some College","Other","Not at all","Conservative",2
"330324","Man",1,0,"Rarely","65+","Some College","White","Not too much","Conservative",1
"331946","Man",1,0,"Often","50-64","HS Grad or Less","White","Not too much","Moderate",1
"332823","Woman",1,1,"Rarely","50-64","Some College","White","Not at all","Very Conservative",1
"333245","Woman",1,0,"Rarely","65+","HS Grad or Less","White","Not too much","Moderate",1
"333639","Man",1,1,"Sometimes","50-64","College Grad+","White","Not too much","Moderate",2
"334917","Woman",1,0,"Often","65+","College Grad+","White","Not too much","Moderate",1
"335417","Woman",1,0,"Sometimes","50-64","Some College","White","Not too much","Conservative",2
"340705","Woman",1,0,"Sometimes","50-64","Some College","White","Some","Moderate",1
"340808","Woman",1,0,"Never","50-64","College Grad+","White","Not at all","Very Liberal",1
"341094","Woman",1,1,"Sometimes","30-49","College Grad+","White","Some","Conservative",2
"341801","Woman",1,0,"Sometimes","65+","Some College","White","Not too much","Liberal",1
"348665","Woman",1,1,"Sometimes","50-64","College Grad+","White","Some","Moderate",2
"600059","Woman",1,0,"Never","50-64","Some College","White","Not at all","Very Conservative",2
"600087","Man",1,0,"Never","50-64","College Grad+","White","Not at all","Conservative",2
"600226","Man",0,0,"Never","50-64","Some College","White","Not at all","Moderate",2
"600312","Woman",NA,NA,"Rarely","65+","HS Grad or Less","Hispanic","Not at all","Moderate",1
"600689","Man",1,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",1
"600822","Woman",1,0,"Sometimes","30-49","College Grad+","Black","Some","Moderate",1
"600848","Man",0,0,"Never","65+","Some College","White","Not at all","Conservative",2
"601538","Woman",1,0,"Rarely","30-49","Some College","Hispanic","Not too much","Moderate",1
"601608","Woman",0,0,"Rarely","65+","Some College","Other","Not at all","Moderate",1
"601754","Man",1,1,"Often","30-49","Some College","Hispanic","Some","Moderate",1
"602366","Man",0,0,"Never","65+","Some College","White","Not at all","Conservative",2
"602745","Man",0,0,"Never","65+","College Grad+","White","Not at all","Conservative",2
"603000","Man",0,0,"Never","65+","HS Grad or Less","White","Not at all","Liberal",1
"603100","Man",0,0,"Never","65+","College Grad+","White","Not at all","Moderate",1
"603476","Woman",1,0,"Rarely","65+","Some College","White","Not too much","Conservative",2
"603718","Man",1,1,"Sometimes","50-64","College Grad+","Black","Not too much","Conservative",1
"603769","Man",1,0,"Never","65+","College Grad+","Other","Not too much","Conservative",2
"604090","Man",1,1,"Never","50-64","Some College","White","Not at all","Moderate",1
"604576","Man",1,1,"Often","30-49","Some College","Hispanic","Some","Moderate",1
"604753","Man",1,0,"Never","30-49","HS Grad or Less","Hispanic","Not too much","Moderate",1
"604983","Woman",1,0,"Rarely","30-49","Some College","White","Not too much","Moderate",2
"605031","Man",1,0,"Rarely","30-49","HS Grad or Less","White","Not at all","Liberal",2
"605095","Man",1,0,"Rarely","65+","Some College","White","Not at all","Conservative",2
"605512","Woman",1,0,"Sometimes","30-49","Some College","White","Not too much","Conservative",1
"606041","Woman",1,1,"Sometimes","65+","Some College","White","Some","Liberal",2
"606423","Woman",1,1,"Often","50-64","College Grad+","White","Some","Very Liberal",1
"606454","Man",1,0,"Sometimes","65+","Some College","White","Not too much","Liberal",2
"606543","Man",1,1,"Sometimes","65+","College Grad+","White","Some","Liberal",2
"607034","Man",0,0,"Never","65+","Some College","Black","Not too much","Liberal",1
"607371","Woman",0,0,"Rarely","30-49","Some College","Hispanic","Not too much","Moderate",2
"607425","Man",0,1,"Never","30-49","College Grad+","White","Not at all","Conservative",2
"608960","Woman",0,0,"Sometimes","30-49","College Grad+","White","Not too much","Moderate",1
"609226","Woman",1,0,"Sometimes","30-49","Some College","Black","Not too much","Moderate",1
"609483","Woman",1,1,"Often","65+","Some College","White","Some","Liberal",1
"609695","Woman",1,0,"Rarely","30-49","College Grad+","White","Not too much","Liberal",2
"610035","Man",1,1,"Often","30-49","College Grad+","Hispanic","Not too much","Liberal",2
"610190","Woman",1,1,"Sometimes","65+","College Grad+","Hispanic","Not too much","Conservative",2
"610816","Woman",1,0,"Never","30-49","College Grad+","White","Not at all","Very Liberal",2
"611152","Woman",0,0,"Never","50-64","Some College","Hispanic","Not too much","Moderate",2
"611618","Woman",1,0,"Never","65+","HS Grad or Less","Black","Not at all","Moderate",1
"611890","Man",1,1,"Sometimes","30-49","College Grad+","Black","Some","Moderate",1
"612461","Woman",0,0,"Rarely","30-49","HS Grad or Less","White","Not too much","Moderate",1
"613169","Woman",0,0,"Never","65+","College Grad+","White","Not at all","Very Liberal",2
"613225","Woman",1,0,"Never","30-49","College Grad+","White","Not too much","Liberal",1
"613271","Man",0,0,"Never","65+","College Grad+","White","Not at all","Moderate",2
"613751","Woman",1,0,"Rarely","65+","Some College","White","Some","Very Conservative",2
"614200","Woman",1,1,"Never","50-64","HS Grad or Less","Asian","Not at all","Conservative",2
"614264","Man",1,0,"Rarely","65+","HS Grad or Less","White","Some","Moderate",2
"614469","Man",0,1,"Sometimes","30-49","College Grad+","White","Some","Liberal",2
"615441","Man",1,0,"Never","30-49","HS Grad or Less","White","Not at all","Moderate",1
"615641","Woman",1,0,"Never","50-64","College Grad+","White","Not at all","Conservative",2
"615908","Man",1,1,"Sometimes","65+","Some College","Black","Some","Moderate",1
"616040","Man",0,0,"Rarely","30-49","Some College","White","Not too much","Very Liberal",1
"616088","Man",1,0,"Rarely","30-49","Some College","White","Not too much","Liberal",2
"616524","Man",0,0,"Never","30-49","Some College","White","Not at all","Liberal",2
"616589","Man",1,1,"Often","30-49","College Grad+","White","Some","Liberal",1
"616664","Man",1,0,"Sometimes","30-49","Some College","White","Not too much","Moderate",2
"616924","Man",1,0,"Sometimes","65+","Some College","White","Some","Conservative",2
"617060","Man",0,1,"Never","30-49","HS Grad or Less","White","Some","Very Conservative",2
"617222","Woman",0,0,"Sometimes","65+","College Grad+","White","Not at all","Very Conservative",2
"617352","Woman",1,1,"Rarely","50-64","College Grad+","White","Not too much","Conservative",1
"617462","Woman",1,0,"Never","50-64","Some College","White","Not at all","Liberal",1
"617761","Man",0,0,"Sometimes","30-49","College Grad+","White","Some","Moderate",1
"617799","Woman",1,1,"Sometimes","30-49","Some College","White","Not too much","Liberal",2
"618556","Man",1,1,"Rarely","30-49","College Grad+","White","Not at all","Conservative",2
"618612","Woman",1,0,"Rarely","65+","College Grad+","White","Not too much","Liberal",2
"618903","Woman",1,0,"Rarely","30-49","College Grad+","White","Not too much","Moderate",2
"619244","Woman",1,1,"Sometimes","30-49","HS Grad or Less","Black","A lot","Very Conservative",2
"619330","Man",1,1,"Never","30-49","College Grad+","Hispanic","Not at all","Very Liberal",1
"619440","Woman",1,1,"Sometimes","50-64","College Grad+","White","Not too much","Very Liberal",1
"619452","Man",1,0,"Rarely","65+","College Grad+","White","Some","Very Liberal",1
"619741","Woman",1,0,"Rarely","30-49","College Grad+","White","Not too much","Liberal",2
"619810","Woman",1,0,"Rarely","30-49","College Grad+","White","Not too much","Liberal",1
"620937","Woman",1,1,"Sometimes","50-64","College Grad+","White","Not too much","Very Liberal",1
