"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
41,"Native","Not Important At All","Not Important At All","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Immigrant","Very Important","Very Important","Fairly Important","Not Important At All","Not Very Important","Not Important At All","Not Important At All",23,1,0
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native","Essential","Essential","Essential","Very Important","Not Important At All","Not Important At All","Essential",NA,1,1
48,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
27,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Very Important","Not Important At All",NA,0,1
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Native","Very Important","Very Important","Very Important","Very Important","Very Important","Fairly Important","Fairly Important",NA,0,0
37,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Not Important At All",63,1,0
81,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Fairly Important","Fairly Important",NA,1,0
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Very Important","Not Very Important","Fairly Important",NA,0,0
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant","Not Important At All","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",28,1,0
56,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
23,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Very Important","Very Important","Not Very Important",NA,0,0
74,"Immigrant",NA,NA,NA,NA,NA,NA,NA,40,NA,NA
63,"Immigrant",NA,NA,NA,NA,NA,NA,NA,42,NA,NA
30,"Immigrant",NA,NA,NA,NA,NA,NA,NA,5,NA,NA
27,"Native","Fairly Important","Fairly Important","Essential","Not Very Important","Not Very Important","Not Important At All","Fairly Important",NA,1,0
47,"Immigrant",NA,NA,NA,NA,NA,NA,NA,13,NA,NA
69,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Important At All","Fairly Important",NA,0,0
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Immigrant",NA,NA,NA,NA,NA,NA,NA,3,NA,NA
NA,"Native","Not Important At All","Not Important At All","Fairly Important","Not Very Important","Fairly Important","Not Important At All","Not Important At All",NA,0,0
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
38,"Native","Fairly Important","Essential","Essential","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native","Not Important At All","Not Important At All","Fairly Important","Not Important At All","Not Important At All","Fairly Important","Very Important",NA,0,0
NA,"Native",NA,"Essential","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,0
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,"Very Important","Essential","Fairly Important","Not Very Important","Not Very Important","Very Important",53,0,0
80,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Immigrant","Essential","Essential","Essential","Fairly Important","Not Important At All","Fairly Important","Not Important At All",2,0,1
NA,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
61,"Immigrant","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",32,0,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Essential","Very Important","Fairly Important","Not Important At All","Fairly Important","Fairly Important","Fairly Important",NA,0,1
20,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"Native","Not Important At All","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Very Important",NA,0,0
61,"Native","Essential","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
35,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native","Fairly Important","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Fairly Important",NA,0,0
36,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Native","Very Important","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important",NA,1,0
62,"Native","Very Important","Very Important","Very Important","Fairly Important","Very Important","Not Very Important","Very Important",NA,0,0
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Immigrant",NA,NA,NA,NA,NA,NA,NA,42,NA,NA
75,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native","Very Important","Very Important","Essential","Fairly Important","Very Important","Not Very Important","Fairly Important",NA,1,0
51,"Native","Not Very Important","Fairly Important","Fairly Important","Fairly Important","Not Important At All","Fairly Important","Fairly Important",NA,1,0
89,"Native","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Essential","Not Important At All",NA,1,0
71,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important",NA,0,0
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Immigrant",NA,NA,NA,NA,NA,NA,NA,10,NA,NA
51,"Native","Very Important","Very Important","Very Important","Very Important",NA,"Not Very Important","Not Very Important",NA,0,1
61,"Native","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Very Important","Very Important",NA,0,0
NA,"Native","Not Important At All","Not Important At All","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
42,"Immigrant","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",26,0,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native","Very Important",NA,NA,"Essential",NA,NA,NA,NA,NA,1
73,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Native","Not Important At All","Not Important At All","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Very Important",NA,0,0
55,"Immigrant","Very Important","Fairly Important","Essential","Fairly Important","Not Very Important","Not Very Important","Not Very Important",20,1,0
40,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Fairly Important","Not Very Important","Not Very Important",NA,1,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,NA,NA,NA,1,0
58,"Native","Not Very Important","Fairly Important","Essential","Fairly Important","Fairly Important","Fairly Important","Very Important",NA,0,0
83,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Not Very Important",NA,0,0
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Not Important At All","Not Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
NA,"Immigrant","Fairly Important","Essential","Essential","Fairly Important","Not Important At All","Fairly Important","Not Important At All",12,1,1
73,"Native","Fairly Important","Fairly Important","Essential","Not Very Important","Fairly Important","Not Important At All","Fairly Important",NA,1,0
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Immigrant","Fairly Important","Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",27,0,1
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Very Important","Fairly Important","Essential","Not Very Important","Fairly Important","Not Very Important","Not Very Important",NA,1,0
36,"Immigrant",NA,NA,NA,NA,NA,NA,NA,7,NA,NA
64,"Immigrant","Fairly Important","Essential","Essential","Very Important","Not Very Important","Not Very Important","Not Very Important",43,0,0
77,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Immigrant","Very Important","Very Important","Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All",19,1,0
59,"Immigrant","Very Important","Essential","Essential","Fairly Important","Fairly Important","Not Very Important","Not Very Important",29,1,0
42,"Immigrant",NA,NA,NA,NA,NA,NA,NA,7,NA,NA
47,"Immigrant",NA,NA,NA,NA,NA,NA,NA,40,NA,NA
53,"Immigrant",NA,NA,NA,NA,NA,NA,NA,30,NA,NA
58,"Native","Very Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
63,"Native","Essential","Very Important","Essential","Not Very Important","Not Very Important","Very Important","Very Important",NA,0,0
61,"Immigrant","Essential","Essential","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",34,0,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Immigrant","Not Very Important","Fairly Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Very Important",31,1,0
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Immigrant",NA,NA,NA,NA,NA,NA,NA,32,NA,NA
36,"Native","Fairly Important","Very Important","Essential","Fairly Important","Not Very Important","Fairly Important","Very Important",NA,0,0
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Native","Not Important At All","Fairly Important","Essential","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
38,"Immigrant",NA,NA,NA,NA,NA,NA,NA,30,NA,NA
56,"Immigrant","Fairly Important","Very Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All",20,0,0
31,"Immigrant",NA,NA,NA,NA,NA,NA,NA,3,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Native","Fairly Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Fairly Important",NA,1,1
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant","Fairly Important","Very Important","Essential","Not Very Important","Fairly Important","Not Important At All","Very Important",35,1,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Immigrant","Essential","Essential","Essential","Essential","Fairly Important","Fairly Important","Not Very Important",16,1,1
46,"Native","Essential","Essential","Essential","Essential","Essential","Not Important At All","Not Important At All",NA,1,1
45,"Immigrant",NA,NA,NA,NA,NA,NA,NA,20,NA,NA
21,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,58,NA,NA
50,"Immigrant","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important",22,0,0
25,"Native","Fairly Important","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
54,"Native",NA,"Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,1
21,"Native","Not Very Important","Not Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,1
27,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Native","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Essential",NA,1,0
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,1,0
72,"Native","Not Very Important","Not Very Important",NA,"Not Very Important","Not Very Important","Not Important At All","Not Important At All",NA,0,0
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native","Fairly Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
84,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Important At All","Very Important",NA,0,0
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native","Very Important","Very Important","Very Important","Very Important",NA,"Not Important At All",NA,NA,1,0
40,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
46,"Native","Fairly Important","Very Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native","Not Important At All","Not Important At All","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Very Important",NA,1,0
28,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Immigrant","Fairly Important","Very Important","Essential",NA,"Not Important At All","Fairly Important","Not Important At All",5,0,0
83,"Native","Fairly Important","Very Important","Very Important","Fairly Important","Not Very Important","Fairly Important","Very Important",NA,0,0
33,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Important At All","Fairly Important","Not Important At All",NA,0,0
34,"Native","Very Important",NA,"Very Important","Not Very Important","Very Important","Not Very Important","Fairly Important",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Native","Essential","Essential","Very Important","Not Very Important","Not Important At All","Not Important At All",NA,NA,0,0
70,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Essential","Very Important","Not Very Important",NA,1,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Very Important","Fairly Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native","Fairly Important","Fairly Important","Very Important",NA,"Not Important At All","Fairly Important","Essential",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native","Not Very Important","Fairly Important","Fairly Important","Not Important At All","Not Very Important","Not Very Important","Essential",NA,0,0
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Very Important","Very Important","Very Important","Very Important",NA,"Not Very Important","Not Very Important",NA,1,0
45,"Native","Fairly Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Very Important","Fairly Important","Essential","Not Very Important","Not Very Important","Not Important At All","Fairly Important",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Native","Not Important At All","Not Very Important","Very Important","Not Important At All","Not Important At All",NA,NA,NA,1,0
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Essential","Essential","Essential","Essential","Essential","Very Important","Very Important",NA,0,1
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Not Very Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Very Important","Not Very Important",NA,1,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native","Not Very Important","Very Important","Fairly Important","Fairly Important","Not Important At All","Essential","Not Important At All",NA,1,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Not Very Important","Fairly Important","Very Important","Not Important At All","Not Very Important","Not Very Important","Not Very Important",NA,0,NA
81,"Native","Not Important At All","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Very Important",NA,0,0
52,"Native","Very Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Very Important",NA,0,0
34,"Native","Very Important","Very Important","Essential","Essential","Very Important","Fairly Important","Not Very Important",NA,0,1
19,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native","Very Important","Very Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Very Important",NA,1,0
NA,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Very Important",NA,0,0
66,"Native","Fairly Important","Essential","Very Important","Not Important At All","Not Important At All","Not Important At All","Fairly Important",NA,1,0
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,56,NA,NA
72,"Native","Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
77,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Very Important","Not Important At All","Not Important At All",NA,1,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Native","Very Important","Very Important","Essential","Not Very Important","Fairly Important","Not Important At All","Fairly Important",NA,1,0
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native","Not Important At All","Not Important At All","Fairly Important","Not Important At All","Not Important At All","Fairly Important","Not Important At All",NA,0,0
64,"Native","Not Important At All","Not Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
56,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
86,"Native","Fairly Important","Fairly Important","Very Important",NA,"Fairly Important","Not Important At All","Fairly Important",NA,0,NA
24,"Native","Very Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Fairly Important",NA,0,1
38,"Immigrant","Fairly Important","Fairly Important","Essential","Not Very Important","Not Very Important",NA,"Not Important At All",37,1,0
31,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,1,0
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,32,NA,NA
46,"Immigrant",NA,NA,NA,NA,NA,NA,NA,18,NA,NA
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Immigrant",NA,NA,NA,NA,NA,NA,NA,51,NA,NA
62,"Native","Very Important","Very Important","Very Important","Very Important","Not Important At All","Fairly Important","Not Very Important",NA,0,0
44,"Immigrant",NA,NA,NA,NA,NA,NA,NA,20,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native","Very Important","Very Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Very Important",NA,0,0
37,"Immigrant","Not Very Important","Essential","Essential","Not Very Important","Not Important At All","Not Very Important","Not Important At All",24,1,1
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Native","Not Very Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,21,NA,NA
NA,"Immigrant","Fairly Important","Essential","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",16,1,0
40,"Immigrant",NA,NA,NA,NA,NA,NA,NA,8,NA,NA
85,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important",NA,"Not Important At All","Not Very Important",NA,0,0
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native","Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Very Important",NA,0,0
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Native","Very Important","Very Important","Essential","Very Important","Not Important At All","Not Important At All","Very Important",NA,1,0
46,"Native","Fairly Important","Fairly Important","Essential",NA,"Very Important",NA,"Fairly Important",NA,0,0
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Very Important","Very Important","Very Important","Not Very Important","Fairly Important","Fairly Important","Not Very Important",NA,0,0
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Native","Fairly Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Immigrant","Very Important","Very Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All",30,1,0
21,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native","Very Important","Very Important","Fairly Important","Very Important","Very Important","Not Very Important","Fairly Important",NA,0,0
25,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Very Important",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
40,"Immigrant",NA,NA,NA,NA,NA,NA,NA,30,NA,NA
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Native","Essential","Very Important","Essential","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,1
50,"Native","Very Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
58,"Native","Very Important","Very Important","Essential","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,1,1
58,"Native","Fairly Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
25,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Not Important At All","Very Important","Very Important","Not Very Important","Essential","Not Important At All","Not Very Important",NA,1,0
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Very Important","Not Important At All",NA,NA,1,0
54,"Native","Very Important","Not Very Important","Essential","Very Important","Not Very Important","Essential","Essential",NA,0,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,1,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Very Important",NA,1,0
64,"Native","Fairly Important","Very Important","Very Important","Not Important At All","Not Very Important","Not Very Important","Not Very Important",NA,0,0
