"qkey","cancul1","crimsent","weight_w92","education","division","ideology","gender","race"
106885,"Accountable","Too much time",0.302644110329994,"College graduate","Pacific","Very Conservative","Woman","Hispanic"
107023,"Accountable","Too little time",0.606943451205374,"Associate's Degree","South Atlantic","Liberal","Woman","Black"
107612,"Accountable","About the right amount",0.403713729422905,"Some College","West South Central","Moderate","Woman","Refused"
107668,"Accountable","About the right amount",0.25914427493069,"College graduate","West South Central","Moderate","Woman","White"
108035,"Punish","Too little time",1.13183983636259,"Less Than High School","Mountain","Very Conservative","Man","White"
108348,"Accountable","Too little time",0.423550724402454,"Some College","Mountain","Conservative","Woman","White"
108435,"Punish","Too little time",0.494255846189745,"Postgraduate","East North Central","Conservative","Woman","White"
108592,"Accountable","Too little time",0.769528557309283,"Associate's Degree","East North Central","Moderate","Woman","Black"
108909,"Punish","Too much time",7.37829486596566,"Less Than High School","East North Central","Moderate","Woman","White"
109143,"Accountable","About the right amount",0.569450367605025,"High School Graduate","South Atlantic","Conservative","Woman","White"
109188,"Accountable","Too much time",0.249116384900176,"Postgraduate","East North Central","Moderate","Woman","White"
110041,"Punish","Too little time",0.277659578788461,"Postgraduate","South Atlantic","Very Conservative","Man","White"
110550,"Punish","Too little time",0.320815861427077,"College graduate","East South Central","Moderate","Man","White"
111646,"Accountable","About the right amount",0.427551188156159,"College graduate","Mountain","Moderate","Woman","White"
111665,"Accountable","Too little time",1.64254545376288,"Some College","Pacific","Moderate","Woman","Hispanic"
112238,"Accountable","Too little time",0.644354401800187,"High School Graduate","Mountain","Conservative","Woman","White"
112371,"Punish","Too little time",0.625407251955822,"Some College","Middle Atlantic","Moderate","Woman","Hispanic"
112984,"Accountable","About the right amount",0.276105089610242,"College graduate","South Atlantic","Very Liberal","Woman","White"
113274,"Accountable","Too much time",0.341268687135738,"College graduate","New England","Conservative","Man","Asian"
113412,"Punish","About the right amount",0.47744387294133,"Some College","West South Central","Moderate","Woman","White"
113565,"Punish","Too little time",0.285655282089034,"Some College","East South Central","Conservative","Man","White"
114197,"Accountable","Too much time",0.708172738517613,"College graduate","Middle Atlantic","Moderate","Woman","White"
114473,"Accountable","About the right amount",0.491118628525183,"Postgraduate","Middle Atlantic","Very Conservative","Woman","White"
114671,"Punish","Too little time",0.250809146274307,"Postgraduate","Pacific","Conservative","Man","White"
114898,"Punish","About the right amount",0.4291136302615,"Postgraduate","West North Central","Very Conservative","Woman","White"
115295,"Punish","About the right amount",0.317883930727381,"Associate's Degree","Pacific","Conservative","Man","Other"
115546,"Punish","About the right amount",0.493323451433502,"College graduate","Mountain","Moderate","Man","White"
115706,"Punish","Too little time",1.371907057528,"High School Graduate","East North Central","Very Conservative","Woman","White"
116151,"Punish","About the right amount",1.11448090430422,"High School Graduate","Mountain","Very Conservative","Woman","White"
116182,"Punish","Too little time",0.448652830313865,"Some College","Mountain","Conservative","Man","White"
116264,"Accountable","About the right amount",0.664552260843229,"Postgraduate","Middle Atlantic","Moderate","Woman","White"
116439,"Punish","About the right amount",0.291592114700462,"College graduate","Mountain","Moderate","Woman","White"
116617,"Accountable","About the right amount",0.170624707776313,"Postgraduate","East South Central","Moderate","Man","White"
116832,"Punish","Too little time",0.219391594786108,"College graduate","East North Central","Very Conservative","Man","White"
116998,"Punish","Too little time",0.568112035293672,"Postgraduate","East North Central","Liberal","Woman","Black"
117214,"Accountable","Too much time",0.34568890657081,"Postgraduate","New England","Very Liberal","Man","White"
117395,"Accountable","Too much time",0.184726563009353,"College graduate","Pacific","Liberal","Woman","White"
118060,"Accountable","About the right amount",0.533018725128873,"College graduate","South Atlantic","Conservative","Woman","White"
118110,"Accountable","About the right amount",1.27397730527956,"High School Graduate","East North Central","Liberal","Woman","White"
118414,"Punish","Too little time",1.05958484420512,"High School Graduate","East North Central","Very Conservative","Woman","White"
118888,"Accountable","About the right amount",0.358929764395358,"College graduate","Mountain","Very Liberal","Woman","White"
119121,"Accountable","Too much time",0.650952965343274,"Some College","East South Central","Liberal","Woman","White"
119392,"Accountable","Too little time",1.0792096122513,"High School Graduate","East North Central","Moderate","Man","White"
119548,"Punish","Too little time",0.55422627793801,"High School Graduate","New England","Conservative","Woman","White"
119714,"Punish","Too much time",0.597566439086857,"Associate's Degree","West North Central","Moderate","Woman","White"
121158,"Punish","Too little time",0.327937813766189,"College graduate","West South Central","Conservative","Woman","White"
121582,"Punish","About the right amount",0.488079488420634,"Postgraduate","Pacific","Very Conservative","Woman","Other"
122265,"Accountable","About the right amount",0.486132642869842,"College graduate","Middle Atlantic","Conservative","Man","White"
122466,"Punish","About the right amount",0.237405370899792,"College graduate","Pacific","Moderate","Man","White"
124032,"Punish","Too little time",0.535589471761967,"Some College","East North Central","Conservative","Woman","White"
125634,"Accountable","Too little time",0.36131966865763,"College graduate","East South Central","Very Conservative","Man","White"
126190,"Accountable","Too much time",0.218788667017137,"College graduate","Middle Atlantic","Moderate","Man","White"
126211,"Punish","About the right amount",1.27029960366901,"High School Graduate","South Atlantic","Very Conservative","Man","White"
126570,"Punish","About the right amount",0.784269954391511,"Some College","West North Central","Conservative","Woman","White"
127160,"Punish","About the right amount",1.06000676081392,"Postgraduate","East South Central","Very Conservative","Woman","Other"
127250,"Accountable","Too little time",0.740854646186733,"High School Graduate","Mountain","Conservative","Woman","White"
127284,"Punish","About the right amount",0.403664231807962,"Some College","Pacific","Moderate","Woman","White"
127498,"Punish","About the right amount",0.901469356191501,"College graduate","East North Central","Moderate","Man","White"
127800,"Accountable","About the right amount",0.481876888770897,"Associate's Degree","West North Central","Moderate","Woman","White"
128285,"Punish","About the right amount",0.220414021830467,"Postgraduate","Middle Atlantic","Liberal","Man","Other"
128558,"Punish","About the right amount",0.816750182958901,"High School Graduate","South Atlantic","Conservative","Woman","White"
129046,"Punish","About the right amount",0.360941150935507,"College graduate","Mountain","Conservative","Man","White"
129189,"Punish","Too much time",0.479852496848544,"Postgraduate","South Atlantic","Very Conservative","Woman","White"
130571,"Punish","Too much time",0.359099107397232,"Associate's Degree","Mountain","Conservative","Woman","Hispanic"
131786,"Accountable","About the right amount",0.508104396237343,"Postgraduate","Pacific","Conservative","Man","White"
132246,"Punish","Too much time",0.80283407358184,"Some College","South Atlantic","Conservative","Man","Refused"
132264,"Accountable","Too much time",0.444057312469193,"Postgraduate","East North Central","Moderate","Woman","White"
132973,"Accountable","Too little time",0.760113076396597,"High School Graduate","Pacific","Moderate","Woman","White"
133114,"Accountable","About the right amount",0.208647997833022,"Postgraduate","South Atlantic","Moderate","Man","White"
133700,"Accountable","Too little time",0.965299832305793,"High School Graduate","Middle Atlantic","Moderate","Woman","White"
134129,"Punish","Too much time",0.430936959074845,"Associate's Degree","West South Central","Moderate","Woman","White"
135146,"Punish","Too little time",0.214376465318774,"College graduate","East North Central","Conservative","Man","White"
135751,"Accountable","Too much time",0.315493025048362,"Postgraduate","New England","Liberal","Man","White"
135822,"Punish","About the right amount",0.439127964487186,"High School Graduate","Middle Atlantic","Very Conservative","Woman","White"
136316,"Accountable","About the right amount",0.391078626957737,"Associate's Degree","South Atlantic","Moderate","Woman","White"
136411,"Punish","Too much time",0.318373643910119,"College graduate","South Atlantic","Moderate","Man","White"
136999,"Accountable","Too much time",0.34900795115639,"Some College","Middle Atlantic","Moderate","Woman","White"
137886,"Accountable","Too little time",0.343042599083964,"Postgraduate","Middle Atlantic","Moderate","Woman","White"
139467,"Accountable","About the right amount",0.294660493891919,"Associate's Degree","West North Central","Conservative","Woman","White"
139905,"Accountable","Too much time",0.669423463294247,"Postgraduate","New England","Liberal","Woman","White"
141319,"Accountable","Too much time",2.14554547072778,"High School Graduate","West North Central","Very Liberal","Man","Black"
141471,"Punish","About the right amount",0.582077515660101,"Associate's Degree","Middle Atlantic","Conservative","Woman","White"
141878,"Accountable","Too little time",0.539515331006714,"Some College","West North Central","Conservative","Woman","White"
142398,"Accountable","Too much time",0.299779679086429,"Postgraduate","Middle Atlantic","Liberal","Woman","White"
143915,"Punish","Too much time",1.26732908180374,"High School Graduate","Middle Atlantic","Conservative","Man","White"
144036,"Punish","About the right amount",0.293637880665304,"Some College","West South Central","Very Conservative","Woman","White"
144429,"Punish","Too little time",0.411546780222979,"Postgraduate","East North Central","Conservative","Woman","White"
144736,"Accountable","Too much time",0.342141799848566,"Postgraduate","New England","Liberal","Woman","White"
145364,"Punish","About the right amount",2.29612662880485,"High School Graduate","Middle Atlantic","Conservative","Man","White"
145887,"Accountable","Too little time",1.07645548865776,"College graduate","Pacific","Moderate","Woman","White"
146170,"Accountable","About the right amount",0.433073091177446,"Some College","Pacific","Conservative","Man","White"
146434,"Accountable","Too much time",1.07524396531165,"Less Than High School","West South Central","Conservative","Woman","White"
146784,"Punish","Too little time",0.34335368395467,"Some College","Pacific","Very Conservative","Man","Hispanic"
147121,"Accountable","Too little time",0.55262848436642,"High School Graduate","South Atlantic","Moderate","Woman","White"
147701,"Punish","About the right amount",0.272652292787798,"College graduate","Middle Atlantic","Moderate","Man","White"
150197,"Punish","Too little time",0.351009435123747,"Some College","East North Central","Very Conservative","Man","White"
151929,"Accountable","Too little time",0.24753306378137,"Postgraduate","Middle Atlantic","Conservative","Man","White"
153346,"Punish","About the right amount",0.30431537229606,"Postgraduate","Mountain","Conservative","Man","Black"
153863,"Accountable","About the right amount",0.931848396114331,"Some College","West North Central","Conservative","Woman","Black"
154578,"Accountable","Too little time",0.749380582379788,"High School Graduate","Pacific","Moderate","Woman","Hispanic"
154750,"Punish","Too little time",0.435339876935954,"College graduate","East North Central","Conservative","Woman","White"
154874,"Accountable","Too little time",0.30517179798074,"Some College","Pacific","Conservative","Woman","White"
154948,"Punish","About the right amount",0.429509707069171,"Postgraduate","South Atlantic","Liberal","Woman","White"
155464,"Accountable","Too little time",4.55266346363892,"High School Graduate","Pacific","Liberal","Woman","White"
155606,"Accountable","About the right amount",0.25550960748309,"College graduate","South Atlantic","Conservative","Man","White"
155832,"Punish","Too little time",0.427084696863021,"College graduate","South Atlantic","Very Conservative","Woman","White"
156233,"Punish","About the right amount",0.577610768142941,"Postgraduate","Middle Atlantic","Conservative","Woman","Other"
156660,"Accountable","Too much time",0.540989531569624,"Postgraduate","Pacific","Moderate","Man","White"
157348,"Punish","About the right amount",0.313334132575412,"Postgraduate","Middle Atlantic","Moderate","Woman","White"
158193,"Accountable","About the right amount",0.240515106841664,"Postgraduate","Pacific","Liberal","Woman","White"
159562,"Punish","Too little time",0.273427906460843,"College graduate","East South Central","Conservative","Man","White"
159828,"Punish","Too little time",0.299677358996688,"Some College","South Atlantic","Very Conservative","Woman","White"
159997,"Accountable","About the right amount",0.304499268871908,"Postgraduate","Pacific","Conservative","Man","White"
160170,"Punish","Too little time",0.434755739576983,"Some College","West North Central","Moderate","Man","White"
160193,"Accountable","About the right amount",0.429264741372903,"Some College","East North Central","Conservative","Man","White"
161130,"Accountable","Too little time",0.494706591089554,"Associate's Degree","West South Central","Conservative","Woman","White"
161820,"Accountable","Too little time",1.29576425851614,"College graduate","East South Central","Moderate","Woman","White"
162119,"Punish","Too little time",0.514152948356683,"College graduate","East North Central","Very Conservative","Woman","White"
162517,"Accountable","About the right amount",0.312220646534265,"Postgraduate","Middle Atlantic","Very Liberal","Man","White"
164425,"Accountable","Too little time",0.853682463717089,"Less Than High School","East North Central","Conservative","Man","White"
165171,"Punish","Too little time",0.648319451505515,"Postgraduate","Middle Atlantic","Moderate","Man","White"
166301,"Accountable","Too much time",0.418958688507021,"Some College","Middle Atlantic","Very Liberal","Man","White"
167094,"Punish","About the right amount",0.472911758220693,"College graduate","West North Central","Conservative","Woman","White"
169135,"Accountable","Too little time",0.52669154677874,"Postgraduate","South Atlantic","Conservative","Woman","White"
169249,"Accountable","About the right amount",1.06752237609221,"Some College","Mountain","Moderate","Woman","White"
169864,"Punish","Too little time",0.346574269901761,"College graduate","Pacific","Conservative","Man","White"
170940,"Punish","About the right amount",0.43231062679122,"Some College","East South Central","Very Conservative","Woman","White"
171076,"Accountable","About the right amount",0.40052678436785,"College graduate","Pacific","Moderate","Man","White"
171264,"Accountable","Too much time",0.731022821630842,"Associate's Degree","East South Central","Moderate","Man","Black"
172231,"Accountable","About the right amount",0.301315187129843,"College graduate","West South Central","Very Conservative","Woman","White"
174032,"Punish","About the right amount",1.03000298353939,"High School Graduate","West South Central","Conservative","Man","White"
175192,"Punish","About the right amount",0.426081016252738,"Associate's Degree","West South Central","Very Conservative","Man","White"
175363,"Accountable","About the right amount",0.254671736998433,"College graduate","Middle Atlantic","Conservative","Man","Other"
175884,"Accountable","Too much time",0.23631757056909,"College graduate","Mountain","Very Liberal","Man","White"
176214,"Accountable","Too much time",0.566789947898075,"Some College","South Atlantic","Moderate","Woman","White"
176308,"Accountable","Too little time",0.651394367067485,"High School Graduate","East North Central","Conservative","Woman","White"
176680,"Punish","About the right amount",0.374299386881107,"Some College","East North Central","Conservative","Woman","White"
176824,"Accountable","About the right amount",0.505770767702892,"Some College","South Atlantic","Conservative","Man","White"
176890,"Accountable","Too little time",0.320116243065233,"Postgraduate","South Atlantic","Moderate","Man","White"
176940,"Accountable","Too little time",0.581203311564031,"Some College","South Atlantic","Moderate","Woman","White"
177572,"Accountable","Too little time",0.343261241372201,"College graduate","West North Central","Moderate","Woman","White"
178470,"Accountable","Too much time",0.638540918453555,"Associate's Degree","East South Central","Liberal","Woman","Black"
179691,"Punish","About the right amount",0.273640482451874,"Associate's Degree","East North Central","Moderate","Man","White"
179979,"Punish","Too much time",1.2830737392247,"High School Graduate","West North Central","Conservative","Woman","White"
180286,"Punish","Too little time",0.339549610800161,"College graduate","West South Central","Very Conservative","Man","White"
181067,"Accountable","Too little time",0.737374413210778,"Associate's Degree","East North Central","Moderate","Man","White"
181573,"Accountable","About the right amount",0.829901574574464,"Less Than High School","Pacific","Conservative","Woman","White"
183145,"Accountable","About the right amount",0.440742782797478,"Some College","South Atlantic","Conservative","Woman","White"
184045,"Accountable","About the right amount",0.428521430450917,"College graduate","South Atlantic","Liberal","Woman","White"
184735,"Accountable","About the right amount",0.450265450071859,"Postgraduate","South Atlantic","Moderate","Woman","Asian"
184778,"Punish","About the right amount",0.669215524694764,"Some College","West North Central","Conservative","Man","Other"
185394,"Accountable","About the right amount",0.374937209006189,"College graduate","East North Central","Very Liberal","Man","Asian"
185435,"Punish","About the right amount",0.583884708999426,"Associate's Degree","Mountain","Very Conservative","Man","White"
185944,"Accountable","About the right amount",1.58247838629361,"High School Graduate","South Atlantic","Liberal","Woman","Refused"
186170,"Accountable","Too little time",0.422465071683611,"Associate's Degree","East North Central","Conservative","Man","White"
186444,"Punish","Too little time",0.421002167629631,"Some College","South Atlantic","Moderate","Woman","White"
186902,"Accountable","About the right amount",0.247286259092306,"Some College","East North Central","Moderate","Man","White"
186980,"Accountable","Too much time",0.778855950199028,"College graduate","Pacific","Moderate","Woman","White"
187312,"Accountable","About the right amount",1.04937734075337,"High School Graduate","Middle Atlantic","Liberal","Woman","White"
188109,"Accountable","Too much time",0.376084621080721,"College graduate","East North Central","Very Liberal","Man","Black"
188245,"Accountable","Too little time",0.739308670567623,"High School Graduate","South Atlantic","Moderate","Woman","White"
188340,"Accountable","About the right amount",0.244992638862731,"Postgraduate","South Atlantic","Conservative","Man","White"
188516,"Punish","About the right amount",0.389296133904184,"Some College","South Atlantic","Conservative","Woman","White"
190780,"Accountable","Too little time",0.256030150993122,"Some College","East North Central","Liberal","Woman","Other"
190961,"Accountable","Too little time",0.796332371629795,"High School Graduate","Middle Atlantic","Conservative","Woman","White"
191063,"Accountable","Too little time",0.505742346102193,"Some College","West South Central","Moderate","Woman","White"
191081,"Punish","Too much time",0.475288585274665,"Some College","West North Central","Moderate","Man","White"
191336,"Accountable","About the right amount",1.25093723786643,"High School Graduate","Middle Atlantic","Liberal","Man","White"
192213,"Punish","Too little time",0.254980397114556,"Postgraduate","South Atlantic","Conservative","Man","White"
192396,"Accountable","Too little time",0.306912668900785,"Associate's Degree","Pacific","Very Conservative","Woman","White"
192474,"Punish","Too much time",0.368088300018204,"Associate's Degree","East North Central","Conservative","Woman","White"
192568,"Punish","About the right amount",0.267098049673662,"College graduate","East South Central","Moderate","Man","White"
192753,"Punish","Too much time",0.320324058499705,"College graduate","East North Central","Conservative","Woman","White"
192798,"Punish","About the right amount",0.977932703449008,"High School Graduate","East North Central","Conservative","Man","White"
193408,"Punish","Too little time",0.370414596441935,"Postgraduate","South Atlantic","Conservative","Man","White"
194284,"Punish","About the right amount",0.211470846523517,"College graduate","South Atlantic","Very Conservative","Man","White"
194634,"Punish","Too little time",0.39623063627571,"Less Than High School","South Atlantic","Conservative","Woman","White"
194718,"Punish","Too little time",0.323263202281182,"Some College","South Atlantic","Very Conservative","Woman","White"
195349,"Punish","Too little time",0.581538007280289,"Some College","Mountain","Moderate","Man","White"
195373,"Punish","Too little time",0.427797199011448,"Some College","Pacific","Moderate","Man","White"
195400,"Punish","Too little time",0.740701878931143,"College graduate","Pacific","Conservative","Man","Asian"
196610,"Accountable","Too much time",0.514317703166443,"Postgraduate","Middle Atlantic","Moderate","Woman","Asian"
196813,"Accountable","Too little time",0.441761621060356,"Some College","East North Central","Liberal","Woman","White"
197067,"Accountable","Too little time",1.02885984263828,"High School Graduate","West North Central","Conservative","Man","White"
197087,"Punish","Too little time",0.849469447582841,"High School Graduate","East North Central","Moderate","Man","White"
197174,"Punish","Too little time",0.735136215127387,"High School Graduate","Pacific","Very Conservative","Woman","White"
197397,"Accountable","Too little time",0.857794794715541,"High School Graduate","West North Central","Conservative","Man","White"
198176,"Accountable","Too much time",0.588981195643431,"Associate's Degree","Middle Atlantic","Liberal","Woman","White"
198205,"Punish","About the right amount",1.33074130879714,"High School Graduate","East North Central","Conservative","Man","White"
198295,"Punish","About the right amount",0.252357050102361,"Postgraduate","West North Central","Liberal","Man","White"
198321,"Punish","About the right amount",0.658593890186833,"Associate's Degree","West North Central","Moderate","Man","White"
198449,"Accountable","Too much time",0.194813673802652,"Postgraduate","Middle Atlantic","Liberal","Man","White"
198476,"Punish","Too much time",1.48750886188523,"College graduate","East North Central","Liberal","Woman","White"
198848,"Punish","Too little time",0.336334661857965,"Postgraduate","West South Central","Conservative","Man","White"
198946,"Accountable","Too little time",1.02390175812205,"Postgraduate","Mountain","Conservative","Woman","White"
199474,"Punish","About the right amount",0.388344916312418,"Associate's Degree","West South Central","Conservative","Man","White"
199510,"Punish","Too little time",0.351219162316571,"Postgraduate","East North Central","Very Conservative","Man","White"
199964,"Punish","About the right amount",0.303551159453687,"Some College","South Atlantic","Very Conservative","Woman","White"
200312,"Punish","Too little time",0.243217133184001,"Some College","South Atlantic","Conservative","Man","Other"
200761,"Punish","About the right amount",0.305769404877106,"College graduate","Pacific","Liberal","Man","White"
200943,"Accountable","About the right amount",0.246063033736013,"College graduate","South Atlantic","Moderate","Man","White"
201095,"Punish","Too little time",0.370829287496125,"College graduate","Pacific","Moderate","Man","Hispanic"
201153,"Accountable","Too much time",1.09657173363139,"Associate's Degree","South Atlantic","Moderate","Woman","Black"
201177,"Accountable","About the right amount",0.212808097795708,"Some College","Middle Atlantic","Conservative","Man","White"
202145,"Accountable","Too much time",0.814474208405201,"Postgraduate","Middle Atlantic","Liberal","Man","White"
202467,"Punish","About the right amount",0.332416723175837,"College graduate","West North Central","Conservative","Woman","White"
202545,"Punish","Too little time",0.250286288023086,"Postgraduate","Mountain","Very Conservative","Man","White"
202800,"Accountable","Too much time",0.217216440595471,"College graduate","West North Central","Moderate","Man","White"
202849,"Punish","Too much time",0.765281369825244,"Postgraduate","Mountain","Very Liberal","Man","White"
203617,"Accountable","Too much time",0.391442998011386,"Postgraduate","New England","Moderate","Woman","White"
203921,"Accountable","Too little time",0.796545883723079,"High School Graduate","South Atlantic","Moderate","Woman","White"
204164,"Punish","Too little time",0.650954038066727,"Some College","Middle Atlantic","Moderate","Man","Hispanic"
204354,"Punish","About the right amount",0.186025099203324,"College graduate","Pacific","Moderate","Man","White"
204536,"Accountable","Too little time",0.897065274085352,"Some College","South Atlantic","Very Conservative","Woman","White"
204601,"Punish","About the right amount",0.362921413736825,"College graduate","West North Central","Liberal","Woman","White"
204832,"Punish","Too little time",1.02609330735788,"High School Graduate","South Atlantic","Conservative","Woman","White"
205459,"Punish","Too little time",0.516998870371697,"High School Graduate","East South Central","Conservative","Woman","White"
205490,"Punish","Too much time",0.437969117194369,"High School Graduate","East South Central","Moderate","Woman","Black"
206457,"Punish","Too little time",0.625825614403477,"Some College","Pacific","Moderate","Man","Refused"
207436,"Punish","Too little time",0.670818348161137,"Some College","New England","Liberal","Woman","White"
207452,"Punish","About the right amount",0.486510874854393,"Some College","East South Central","Conservative","Woman","White"
207502,"Punish","About the right amount",2.41932975032681,"College graduate","South Atlantic","Moderate","Woman","Black"
207573,"Punish","Too little time",0.309897344269114,"Some College","West South Central","Conservative","Man","White"
208237,"Accountable","About the right amount",0.67948746931189,"College graduate","Mountain","Moderate","Refused to Answer","White"
209589,"Accountable","Too little time",0.327143588245156,"College graduate","South Atlantic","Moderate","Man","White"
210108,"Accountable","About the right amount",0.288290254429441,"Postgraduate","New England","Liberal","Woman","White"
210743,"Accountable","Too little time",0.413981320660734,"College graduate","South Atlantic","Liberal","Woman","Hispanic"
211074,"Punish","Too little time",0.433751393260822,"Associate's Degree","East North Central","Conservative","Man","White"
211504,"Accountable","Too little time",0.24312555948685,"College graduate","East North Central","Conservative","Man","White"
211788,"Accountable","Too much time",0.367510237765477,"Postgraduate","West North Central","Very Liberal","Woman","White"
212131,"Punish","Too little time",0.242139466883852,"College graduate","West South Central","Conservative","Man","Other"
212322,"Accountable","About the right amount",0.498417662358511,"College graduate","Middle Atlantic","Conservative","Man","White"
212492,"Accountable","Too little time",0.439493408859662,"Some College","Pacific","Moderate","Man","White"
212680,"Punish","About the right amount",0.186523012368768,"Some College","East North Central","Moderate","Man","Hispanic"
213541,"Punish","About the right amount",0.670002082815471,"High School Graduate","South Atlantic","Conservative","Woman","White"
214437,"Accountable","Too little time",0.263662589221493,"Postgraduate","West North Central","Conservative","Man","White"
214495,"Punish","About the right amount",0.532738049116021,"Postgraduate","West North Central","Liberal","Woman","White"
214562,"Accountable","Too much time",0.377080334099657,"College graduate","Middle Atlantic","Moderate","Man","White"
214778,"Accountable","About the right amount",0.285134787181544,"College graduate","West North Central","Very Conservative","Woman","White"
215767,"Punish","About the right amount",0.86345628447807,"Some College","Pacific","Moderate","Woman","White"
217429,"Accountable","Too little time",0.560424114988058,"College graduate","Middle Atlantic","Conservative","Woman","White"
217659,"Accountable","Too much time",0.543523339034855,"Associate's Degree","East North Central","Moderate","Woman","Black"
218205,"Accountable","Too much time",0.58412369804874,"Postgraduate","New England","Liberal","Woman","Refused"
218656,"Accountable","About the right amount",0.357317694960728,"College graduate","East North Central","Conservative","Woman","White"
218837,"Accountable","Too much time",0.224417074170762,"Postgraduate","East North Central","Very Liberal","Woman","White"
219150,"Punish","Too little time",0.195038264102903,"College graduate","East North Central","Conservative","Man","White"
219306,"Punish","Too little time",0.51818453912919,"College graduate","West North Central","Conservative","Woman","White"
221448,"Punish","Too much time",0.235139271287743,"Postgraduate","South Atlantic","Conservative","Man","White"
223061,"Accountable","Too much time",0.627404270529999,"Less Than High School","East North Central","Very Conservative","Woman","White"
223257,"Accountable","About the right amount",1.65294440848456,"Postgraduate","Pacific","Moderate","Man","Asian"
223496,"Accountable","Too little time",0.68374562486693,"Some College","West North Central","Conservative","Man","White"
224561,"Accountable","Too much time",1.73250024374638,"High School Graduate","East North Central","Conservative","Woman","Black"
225476,"Accountable","Too little time",0.52765704736718,"Postgraduate","Middle Atlantic","Conservative","Woman","White"
225532,"Accountable","Too much time",0.679316001671755,"Associate's Degree","Middle Atlantic","Very Liberal","Man","White"
225546,"Accountable","About the right amount",0.35143983109063,"College graduate","South Atlantic","Very Liberal","Man","White"
226237,"Accountable","Too much time",0.323099710186465,"College graduate","Mountain","Very Liberal","Woman","White"
227099,"Punish","Too little time",0.225598751804147,"College graduate","East North Central","Conservative","Man","White"
227278,"Punish","Too little time",0.45156295971563,"Associate's Degree","Middle Atlantic","Very Conservative","Man","White"
227892,"Punish","Too little time",0.232715409386674,"Postgraduate","East North Central","Very Conservative","Woman","White"
228400,"Punish","About the right amount",0.133632854418727,"Postgraduate","Pacific","Very Conservative","Refused to Answer","Other"
228761,"Accountable","Too little time",1.11046193351622,"High School Graduate","East North Central","Very Conservative","Man","White"
228797,"Punish","Too little time",0.657879952817911,"High School Graduate","Middle Atlantic","Conservative","Woman","White"
229561,"Punish","About the right amount",0.331343235562009,"College graduate","Pacific","Conservative","Woman","White"
230027,"Accountable","About the right amount",0.873400817232425,"High School Graduate","Middle Atlantic","Moderate","Woman","White"
230098,"Accountable","Too much time",0.27755811471193,"Postgraduate","West North Central","Moderate","Woman","White"
230587,"Accountable","Too much time",4.99399274568228,"High School Graduate","South Atlantic","Moderate","Man","White"
230613,"Punish","Too little time",0.564253151504859,"Associate's Degree","West South Central","Conservative","Woman","White"
230801,"Accountable","About the right amount",0.417431348749058,"College graduate","Middle Atlantic","Conservative","Man","White"
231013,"Accountable","Too little time",0.434893020368185,"Associate's Degree","East North Central","Moderate","Woman","Black"
233755,"Accountable","Too much time",0.552600631126306,"Associate's Degree","Pacific","Very Liberal","Woman","White"
234001,"Punish","Too little time",0.531849095205024,"Postgraduate","West North Central","Conservative","Woman","White"
234064,"Accountable","Too much time",0.388168479901642,"College graduate","Pacific","Moderate","Man","White"
