"id","childs","age","agekdbrn","educ","class","memnum","racehisp","geography","religion","place","female","degree","agekdbrn_30plus"
60,2,74,36,16,"Middle class",1,"White","Smaller city","Jewish","Northeast","No","College Degree",1
61,2,49,30,16,"Upper class",2,"White","Smaller city","Protestant","Northeast","No","College Degree",1
62,3,40,31,16,"Middle class",4,"White","Smaller city","Catholic","Northeast","No","College Degree",1
63,3,40,35,20,"Middle class",3,"Other","Smaller city","Eastern","Northeast","Yes","Grad/Prof Degree",1
65,0,22,NA,15,"Middle class",1,"Black","Big city","Catholic","Northeast","No","Some College",NA
65,2,55,31,20,"Upper class",2,"Other","Suburb","Eastern","Northeast","No","Grad/Prof Degree",1
66,3,48,30,18,"Upper class",4,"White","Suburb","Jewish","Northeast","Yes","Grad/Prof Degree",1
69,0,23,NA,16,"Middle class",3,"Black","Big city","Catholic","Northeast","Yes","College Degree",NA
69,2,57,30,18,"Upper class",0,"White","Suburb","None","Northeast","Yes","Grad/Prof Degree",1
70,0,59,NA,18,"Working class",3,"White","Suburb","Protestant","Northeast","Yes","Grad/Prof Degree",NA
71,0,38,NA,16,"Middle class",1,"Black","Suburb","Catholic","Northeast","Yes","College Degree",NA
72,1,33,24,17,"Working class",1,"Black","Suburb","Protestant","Northeast","Yes","Grad/Prof Degree",0
74,5,45,24,15,"Middle class",4,"Black","Suburb","Protestant","Northeast","Yes","Some College",0
75,5,46,NA,12,"Working class",2,"Black","Big city","Other","Northeast","Yes","HS Diploma",NA
75,1,41,27,16,"Working class",0,"Black","Suburb","Protestant","Northeast","Yes","College Degree",0
76,4,36,NA,12,"Middle class",0,"Black","Big city","Protestant","Northeast","Yes","HS Diploma",NA
79,2,57,38,10,"Working class",0,"Hispanic","Suburb","Catholic","Northeast","Yes","Less Than HS",1
80,0,66,NA,18,"Middle class",1,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",NA
83,1,30,28,17,"Middle class",2,"Hispanic","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",0
84,0,24,NA,16,"Working class",3,"White","Suburb","Protestant","Northeast","No","College Degree",NA
84,2,48,27,16,"Middle class",6,"White","Suburb","Catholic","Northeast","No","College Degree",0
85,2,34,NA,16,"Middle class",5,"White","Suburb","Catholic","Northeast","No","College Degree",NA
87,0,32,NA,16,"Middle class",0,"Other","Suburb","None","Northeast","No","College Degree",NA
89,1,33,32,15,"Middle class",5,"Other","Suburb","Eastern","Northeast","No","Some College",1
90,2,69,25,12,"Middle class",4,"White","Suburb","Protestant","Northeast","Yes","HS Diploma",0
92,1,31,30,15,"Middle class",0,"Other","Suburb","Eastern","Northeast","No","Some College",1
93,0,21,NA,14,"Middle class",1,"White","Suburb","Protestant","Northeast","No","Some College",NA
93,1,31,30,14,"Middle class",0,"Other","Suburb","Eastern","Northeast","No","Some College",1
94,2,45,33,13,"Middle class",0,"White","Suburb","Catholic","Northeast","Yes","Some College",1
95,3,79,22,12,"Working class",1,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",0
95,2,63,NA,20,"Upper class",7,"White","Suburb","Jewish","Northeast","Yes","Grad/Prof Degree",NA
97,4,60,NA,12,"Middle class",1,"White","Suburb","Other","Northeast","Yes","HS Diploma",NA
99,4,63,22,12,"Working class",2,"White","Suburb","Protestant","Northeast","No","HS Diploma",0
100,2,57,NA,12,"Working class",3,"Black","Smaller city","Protestant","Northeast","Yes","HS Diploma",NA
103,2,37,30,16,"Working class",1,"White","Suburb","Catholic","Northeast","Yes","College Degree",1
105,4,33,19,14,"Working class",2,"Other","Suburb","Eastern","Northeast","Yes","Some College",0
106,1,50,31,17,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",1
108,6,59,NA,12,"Working class",0,"Black","Smaller city","Protestant","Northeast","Yes","HS Diploma",NA
110,2,57,18,15,"Working class",1,"Hispanic","Suburb","Catholic","Northeast","Yes","Some College",0
112,1,60,40,9,"Working class",3,"White","Suburb","Catholic","Northeast","No","Less Than HS",1
113,2,74,20,14,"Middle class",0,"White","Suburb","Catholic","Northeast","Yes","Some College",0
116,0,34,NA,18,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",NA
117,2,60,27,20,"Middle class",1,"White","Suburb","Catholic","Northeast","No","Grad/Prof Degree",0
120,0,35,NA,16,"Working class",0,"White","Suburb","None","Northeast","No","College Degree",NA
122,1,35,33,20,"Upper class",0,"White","Suburb","Catholic","Northeast","No","Grad/Prof Degree",1
125,1,47,31,12,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",1
129,3,62,25,12,"Middle class",4,"White","Suburb","Catholic","Northeast","No","HS Diploma",0
130,3,40,NA,13,"Working class",2,"Black","Smaller city","Protestant","Northeast","Yes","Some College",NA
130,1,61,28,15,"Middle class",0,"White","Suburb","Catholic","Northeast","No","Some College",0
131,1,56,22,6,"Working class",1,"White","Suburb","Other","Northeast","Yes","Less Than HS",0
133,0,19,NA,11,"Working class",0,"White","Suburb","None","Northeast","No","Less Than HS",NA
135,3,55,31,14,"Middle class",5,"White","Suburb","Catholic","Northeast","No","Some College",1
136,3,32,25,18,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",0
137,2,28,NA,11,"Working class",2,"White","Smaller city","Protestant","Northeast","Yes","Less Than HS",NA
139,0,50,NA,14,"Working class",0,"Hispanic","Suburb","None","Northeast","No","Some College",NA
140,2,24,19,12,"Working class",2,"Hispanic","Suburb","Protestant","Northeast","Yes","HS Diploma",0
142,4,78,NA,12,"Middle class",0,"White","Suburb","Protestant","Northeast","Yes","HS Diploma",NA
143,0,50,NA,12,"Middle class",0,"White","Suburb","None","Northeast","Yes","HS Diploma",NA
144,0,55,NA,16,"Working class",4,"White","Suburb","None","Northeast","Yes","College Degree",NA
146,5,75,NA,12,"Working class",6,"Black","Suburb","Protestant","Northeast","Yes","HS Diploma",NA
146,2,49,35,15,"Middle class",0,"White","Suburb","Catholic","Northeast","No","Some College",1
149,0,28,NA,14,"Working class",0,"White","Suburb","Catholic","Northeast","No","Some College",NA
151,4,61,30,9,"Middle class",2,"Hispanic","Suburb","Catholic","Northeast","No","Less Than HS",1
152,0,35,NA,12,"Working class",1,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",NA
155,0,32,NA,16,"Middle class",1,"White","Suburb","Catholic","Northeast","No","College Degree",NA
156,4,58,28,12,"Middle class",1,"White","Smaller city","Catholic","Northeast","No","HS Diploma",0
159,0,31,NA,16,"Middle class",2,"White","Suburb","Catholic","Northeast","No","College Degree",NA
159,2,33,27,19,"Middle class",2,"White","Smaller city","Protestant","Northeast","No","Grad/Prof Degree",0
160,1,58,31,12,"Working class",3,"White","Smaller city","Protestant","Northeast","No","HS Diploma",1
162,2,41,NA,17,"Working class",3,"Other","Suburb","Catholic","Northeast","No","Grad/Prof Degree",NA
163,1,33,32,16,"Middle class",1,"Hispanic","Suburb","Catholic","West","No","College Degree",1
166,1,25,19,11,"Working class",1,"Hispanic","Suburb","Other","West","No","Less Than HS",0
169,3,63,22,16,"Middle class",3,"White","Suburb","Protestant","West","No","College Degree",0
171,3,67,25,16,"Upper class",3,"White","Suburb","Protestant","West","No","College Degree",0
172,2,45,NA,12,"Middle class",2,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",NA
176,0,31,NA,16,"Middle class",1,"White","Suburb","Protestant","West","Yes","College Degree",NA
177,2,74,25,18,"Middle class",0,"White","Suburb","None","West","No","Grad/Prof Degree",0
178,2,62,33,17,"Upper class",4,"White","Suburb","Catholic","West","No","Grad/Prof Degree",1
179,1,39,NA,17,"Middle class",3,"White","Suburb","Protestant","Northeast","No","Grad/Prof Degree",NA
181,1,38,20,13,"Working class",1,"Black","Suburb","Protestant","West","Yes","Some College",0
182,3,69,22,12,"Middle class",0,"White","Suburb","Protestant","West","No","HS Diploma",0
183,5,35,20,6,"Working class",0,"Hispanic","Suburb","Protestant","West","No","Less Than HS",0
184,4,59,20,13,"Lower class",0,"Hispanic","Suburb","Protestant","West","Yes","Some College",0
185,3,76,26,14,"Middle class",0,"White","Suburb","Protestant","West","No","Some College",0
191,4,29,NA,11,"Working class",3,"White","Suburb","None","West","Yes","Less Than HS",NA
191,5,79,19,12,"Working class",0,"White","Suburb","Protestant","West","Yes","HS Diploma",0
192,2,41,NA,13,"Middle class",2,"White","Suburb","Catholic","West","Yes","Some College",NA
193,3,47,29,15,"Middle class",0,"White","Suburb","Other","West","No","Some College",0
198,0,30,NA,12,"Middle class",0,"White","Suburb","None","West","No","HS Diploma",NA
199,0,38,NA,14,"Middle class",1,"White","Suburb","None","West","No","Some College",NA
199,0,64,NA,15,"Middle class",3,"White","Suburb","Protestant","West","Yes","Some College",NA
201,1,28,NA,13,"Working class",3,"White","Suburb","None","West","Yes","Some College",NA
203,2,64,21,14,"Middle class",0,"White","Suburb","Protestant","West","No","Some College",0
204,3,38,21,15,"Working class",1,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
205,3,49,22,12,"Middle class",0,"White","Suburb","Protestant","West","No","HS Diploma",0
206,0,28,NA,14,"Working class",0,"White","Suburb","Protestant","West","No","Some College",NA
207,1,24,22,11,"Working class",0,"Hispanic","Big city","None","West","No","Less Than HS",0
210,0,24,NA,15,"Working class",2,"Hispanic","Suburb","Catholic","West","No","Some College",NA
211,2,74,NA,13,"Middle class",5,"White","Suburb","Protestant","West","Yes","Some College",NA
211,0,28,NA,14,"Working class",2,"Other","Suburb","Protestant","West","No","Some College",NA
212,1,51,25,6,"Working class",0,"Other","Suburb","Eastern","West","No","Less Than HS",0
214,0,30,NA,14,"Working class",0,"Hispanic","Suburb","Catholic","West","Yes","Some College",NA
216,6,44,16,14,"Working class",3,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
217,3,73,NA,16,"Middle class",5,"White","Big city","Protestant","West","No","College Degree",NA
218,0,34,NA,16,"Middle class",2,"White","Big city","None","West","Yes","College Degree",NA
220,1,31,27,13,"Middle class",2,"White","Suburb","Other","West","No","Some College",0
223,3,55,23,16,"Middle class",3,"Hispanic","Suburb",NA,"West","No","College Degree",0
224,2,32,NA,16,"Middle class",1,"Other","Big city","Other","West","Yes","College Degree",NA
225,0,23,NA,12,"Working class",2,"Black","Suburb","Protestant","West","No","HS Diploma",NA
227,5,36,17,11,"Middle class",1,"Hispanic","Suburb","Catholic","West","No","Less Than HS",0
228,0,28,NA,17,"Working class",0,"White","Big city","Catholic","West","Yes","Grad/Prof Degree",NA
229,3,26,20,12,"Working class",5,"Hispanic","Suburb","Catholic","West","Yes","HS Diploma",0
230,5,33,18,13,"Lower class",0,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
230,0,29,NA,16,"Working class",0,"Other","Big city","Catholic","West","Yes","College Degree",NA
232,0,40,NA,15,"Upper class",1,"White","Big city","Protestant","West","No","Some College",NA
233,0,57,NA,17,"Middle class",2,"White","Big city","Protestant","West","No","Grad/Prof Degree",NA
235,1,64,16,10,"Middle class",4,"White","Big city","Protestant","West","Yes","Less Than HS",0
237,0,26,NA,14,"Middle class",1,"Hispanic","Big city","Catholic","West","Yes","Some College",NA
238,0,28,NA,16,"Middle class",3,"Hispanic","Suburb","Catholic","West","Yes","College Degree",NA
239,2,41,29,13,"Middle class",2,"White","Suburb","Protestant","West","Yes","Some College",0
240,5,70,24,14,"Middle class",0,"White","Suburb","Catholic","West","No","Some College",0
242,2,35,NA,13,"Working class",1,"White","Suburb","Catholic","West","Yes","Some College",NA
243,1,40,40,18,"Middle class",6,"Black","Suburb","Protestant","West","No","Grad/Prof Degree",1
246,1,71,NA,12,"Middle class",2,"White","Suburb","Catholic","West","Yes","HS Diploma",NA
248,4,62,20,12,"Lower class",0,"White","Suburb","Other","West","Yes","HS Diploma",0
248,2,42,NA,16,"Working class",1,"Other","Suburb","None","West","No","College Degree",NA
250,1,59,30,18,"Middle class",1,"White","Big city","Jewish","West","Yes","Grad/Prof Degree",1
252,4,62,19,11,"Middle class",0,"White","Suburb","None","West","No","Less Than HS",0
253,3,49,27,17,"Middle class",4,"White","Suburb","Protestant","West","Yes","Grad/Prof Degree",0
254,5,67,NA,12,"Working class",1,"White","Suburb","Catholic","West","No","HS Diploma",NA
255,0,44,NA,14,"Lower class",1,"Hispanic","Suburb","Other","West","No","Some College",NA
258,0,50,NA,12,"Middle class",3,"White","Suburb","Jewish","West","No","HS Diploma",NA
259,2,44,37,20,"Upper class",3,"White","Suburb","Jewish","West","Yes","Grad/Prof Degree",1
260,0,28,NA,17,"Middle class",0,"White","Suburb","Jewish","West","No","Grad/Prof Degree",NA
261,2,62,NA,19,"Middle class",2,"White","Suburb","Catholic","West","Yes","Grad/Prof Degree",NA
261,0,24,NA,17,"Working class",4,"Hispanic","Big city","Catholic","Midwest","Yes","Grad/Prof Degree",NA
262,0,20,NA,14,"Middle class",4,"Hispanic","Big city","Catholic","Midwest","No","Some College",NA
264,0,38,NA,12,"Middle class",0,"Hispanic","Big city","None","Midwest","No","HS Diploma",NA
265,0,20,NA,12,"Working class",0,"White","Suburb","Catholic","West","Yes","HS Diploma",NA
266,1,24,23,11,"Working class",0,"Black","Big city","None","Midwest","Yes","Less Than HS",0
267,1,54,17,14,"Working class",1,"Black","Big city","Protestant","Midwest","Yes","Some College",0
267,2,71,NA,14,"Working class",1,"White","Suburb","Other","West","No","Some College",NA
268,0,49,NA,20,"Middle class",8,"White","Big city","Catholic","Midwest","No","Grad/Prof Degree",NA
269,1,32,29,16,"Working class",0,"White","Big city","Other","Midwest","Yes","College Degree",0
270,0,27,NA,16,"Middle class",0,"White","Big city","Catholic","Midwest","Yes","College Degree",NA
271,0,25,NA,15,"Working class",0,"Hispanic","Big city","Catholic","Midwest","No","Some College",NA
276,2,64,NA,14,"Middle class",1,"White","Smaller city","Catholic","West","Yes","Some College",NA
276,3,36,21,12,"Middle class",0,"White","Suburb","Catholic","Midwest","Yes","HS Diploma",0
277,0,19,NA,13,"Working class",2,"White","Suburb","Other","Midwest","No","Some College",NA
278,0,60,NA,16,"Middle class",1,"White","Big city","Protestant","Midwest","Yes","College Degree",NA
279,1,32,NA,13,"Middle class",1,"White","Smaller city","None","West","Yes","Some College",NA
280,0,39,NA,18,"Middle class",2,"White","Big city","Protestant","Midwest","Yes","Grad/Prof Degree",NA
281,0,28,NA,16,"Middle class",2,"White","Big city","Protestant","Midwest","No","College Degree",NA
284,4,42,27,19,"Middle class",3,"White","Suburb","Catholic","Midwest","Yes","Grad/Prof Degree",0
285,2,46,28,16,"Middle class",6,"White","Suburb","Catholic","Midwest","No","College Degree",0
285,0,30,NA,10,"Working class",1,"White","Suburb","None","West","No","Less Than HS",NA
287,2,42,NA,12,"Working class",4,"Black","Suburb","Other","West","No","HS Diploma",NA
287,2,35,27,16,"Working class",0,"White","Big city","Catholic","Midwest","Yes","College Degree",0
289,3,53,22,16,"Working class",0,"White","Big city","Catholic","Midwest","Yes","College Degree",0
290,1,50,39,14,"Middle class",1,"White","Big city","Catholic","Midwest","Yes","Some College",1
292,5,45,22,12,"Middle class",3,"White","Big city","Catholic","Midwest","Yes","HS Diploma",0
293,2,40,NA,14,"Working class",1,"Black","Big city","Protestant","West","Yes","Some College",NA
294,1,22,NA,12,"Lower class",1,"White","Big city","Protestant","West","Yes","HS Diploma",NA
294,3,49,33,14,"Middle class",2,"White","Big city","Other","Midwest","No","Some College",1
296,0,25,NA,16,"Middle class",2,"White","Suburb","Catholic","Midwest","Yes","College Degree",NA
298,4,37,NA,11,"Working class",0,"White","Big city","Catholic","West","No","Less Than HS",NA
299,3,75,NA,12,"Middle class",2,"White","Big city","Protestant","West","No","HS Diploma",NA
299,0,46,NA,16,"Middle class",0,"White","Suburb","Catholic","Midwest","No","College Degree",NA
300,0,23,NA,14,"Middle class",1,"White","Suburb","Catholic","Midwest","No","Some College",NA
301,2,39,28,16,"Middle class",4,"White","Suburb","Catholic","Midwest","Yes","College Degree",0
302,0,22,NA,14,"Middle class",0,"Other","Suburb","Catholic","Midwest","Yes","Some College",NA
305,2,46,40,13,"Middle class",0,"Hispanic","Suburb","Catholic","Midwest","No","Some College",1
309,2,41,35,12,"Working class",0,"White","Suburb","Protestant","Midwest","No","HS Diploma",1
310,0,20,NA,12,"Middle class",0,"White","Suburb","Protestant","West","No","HS Diploma",NA
313,0,34,NA,18,"Middle class",0,"Other","Suburb","Other","West","No","Grad/Prof Degree",NA
313,2,56,24,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",0
314,1,42,NA,16,"Middle class",0,"White","Suburb","Protestant","West","Yes","College Degree",NA
316,3,50,24,16,"Middle class",3,"White","Suburb","Protestant","Midwest","Yes","College Degree",0
317,2,48,28,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",0
320,3,60,25,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",0
322,1,43,37,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",1
323,3,52,19,15,"Middle class",4,"White","Suburb","Catholic","Midwest","Yes","Some College",0
324,2,54,NA,12,"Middle class",1,"White","Big city","Catholic","Midwest","No","HS Diploma",NA
324,1,24,22,15,"Working class",0,"Black","Suburb","Protestant","Midwest","Yes","Some College",0
325,2,28,NA,12,"Working class",0,"White","Big city","Catholic","Midwest","Yes","HS Diploma",NA
326,2,62,20,15,"Middle class",0,"Black","Suburb","Protestant","Midwest","No","Some College",0
327,1,49,NA,8,"Working class",2,"White","Big city","Catholic","Midwest","No","Less Than HS",NA
328,1,37,35,16,"Working class",0,"White","Suburb","None","Midwest","Yes","College Degree",1
330,3,54,22,15,"Lower class",8,"Black","Suburb","Protestant","Midwest","No","Some College",0
331,1,24,21,13,"Lower class",0,"Black","Suburb","Catholic","Midwest","Yes","Some College",0
333,2,35,18,12,"Middle class",0,"Black","Smaller city","None","West","No","HS Diploma",0
335,1,49,17,13,"Working class",0,"Other","Smaller city","Catholic","West","Yes","Some College",0
336,0,24,NA,16,"Middle class",7,"White","Smaller city","None","West","No","College Degree",NA
337,0,50,NA,16,"Middle class",0,"White","Smaller city","None","West","Yes","College Degree",NA
339,1,41,30,17,"Middle class",2,"White","Smaller city","Catholic","West","No","Grad/Prof Degree",1
340,5,82,21,16,"Middle class",7,"White","Smaller city","Catholic","West","Yes","College Degree",0
342,1,44,34,20,"Middle class",2,"Other","Smaller city","None","West","No","Grad/Prof Degree",1
344,2,28,24,12,"Middle class",0,"Hispanic","Suburb","Protestant","West","Yes","HS Diploma",0
345,2,45,NA,11,"Lower class",0,"Black","Big city","Protestant","Midwest","Yes","Less Than HS",NA
345,5,33,18,14,"Middle class",0,"White","Suburb","None","West","Yes","Some College",0
346,0,40,NA,12,"Working class",0,"White","Suburb","None","West","No","HS Diploma",NA
349,5,41,19,14,"Lower class",0,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
350,2,58,32,16,"Middle class",4,"White","Suburb","Catholic","West","No","College Degree",1
351,2,53,NA,14,"Middle class",0,"Black","Big city","Protestant","Midwest","Yes","Some College",NA
353,3,37,28,16,"Middle class",4,"White","Suburb","Catholic","West","Yes","College Degree",0
354,3,67,22,14,"Middle class",2,"White","Suburb","Protestant","West","No","Some College",0
355,2,46,24,14,"Working class",0,"Other","Suburb","Protestant","West","Yes","Some College",0
356,4,57,NA,14,"Working class",1,"Black","Suburb","None","Midwest","No","Some College",NA
356,0,35,NA,12,"Middle class",2,"White","Suburb","None","West","No","HS Diploma",NA
358,1,81,22,12,"Middle class",1,"White","Suburb","Jewish","West","No","HS Diploma",0
359,2,57,27,16,"Working class",0,"Other","Suburb","Catholic","West","Yes","College Degree",0
360,4,32,19,12,"Working class",4,"White","Suburb","Catholic","West","Yes","HS Diploma",0
360,1,34,NA,16,"Middle class",0,"White","Suburb","Catholic","Midwest","No","College Degree",NA
361,3,42,23,12,"Middle class",3,"Other","Suburb","Catholic","West","Yes","HS Diploma",0
363,1,48,32,15,"Middle class",5,"White","Suburb","Jewish","West","Yes","Some College",1
365,3,51,37,18,"Middle class",2,"White","Suburb","Catholic","West","No","Grad/Prof Degree",1
366,5,89,25,16,"Middle class",2,"White","Suburb","Catholic","West","No","College Degree",0
367,1,33,NA,15,"Working class",0,"White","Suburb","Catholic","Midwest","Yes","Some College",NA
369,0,47,NA,10,"Middle class",0,"Other","Smaller city","Eastern","West","No","Less Than HS",NA
370,2,53,39,17,"Middle class",2,"White","Smaller city","None","West","Yes","Grad/Prof Degree",1
372,3,66,19,13,"Middle class",0,"White","Smaller city","None","West","Yes","Some College",0
373,3,68,26,18,"Middle class",4,"White","Suburb","Catholic","West","Yes","Grad/Prof Degree",0
374,2,55,20,12,"Working class",0,"White","Suburb","Catholic","West","No","HS Diploma",0
375,1,32,32,19,"Middle class",2,"White","Suburb","None","West","Yes","Grad/Prof Degree",1
377,1,44,33,16,"Middle class",2,"White","Smaller city","Catholic","West","No","College Degree",1
378,4,67,20,12,"Lower class",0,"White","Smaller city","Catholic","West","Yes","HS Diploma",0
381,1,38,35,16,"Middle class",4,"White","Smaller city","Protestant","West","Yes","College Degree",1
382,1,69,24,16,"Middle class",2,"White","Smaller city","None","West","No","College Degree",0
385,2,40,22,16,"Middle class",2,"White","Smaller city","None","West","Yes","College Degree",0
385,3,29,NA,9,"Working class",0,"White","Smaller city","None","Midwest","Yes","Less Than HS",NA
386,2,47,NA,16,"Middle class",2,"White","Smaller city","Protestant","Midwest","No","College Degree",NA
386,0,32,NA,16,"Working class",0,"Other","Smaller city","None","West","No","College Degree",NA
387,0,37,NA,18,"Upper class",1,"White","Smaller city","None","West","Yes","Grad/Prof Degree",NA
388,2,29,20,10,"Middle class",0,"Other","Smaller city","None","West","Yes","Less Than HS",0
390,0,23,NA,12,"Middle class",0,"Black","Suburb","Protestant","West","No","HS Diploma",NA
391,0,50,NA,20,"Lower class",2,"Hispanic","Suburb","Catholic","West","Yes","Grad/Prof Degree",NA
392,1,29,26,20,"Working class",0,"White","Suburb","Protestant","West","No","Grad/Prof Degree",0
393,2,48,22,12,"Middle class",3,"Black","Suburb","Other","West","No","HS Diploma",0
394,4,86,24,18,"Middle class",5,"White","Suburb","Protestant","West","No","Grad/Prof Degree",0
395,1,83,NA,12,"Middle class",1,"White","Smaller city","Catholic","Midwest","Yes","HS Diploma",NA
396,0,48,NA,13,"Middle class",1,"Hispanic","Smaller city","Protestant","West","Yes","Some College",NA
397,2,62,23,14,"Middle class",0,"White","Smaller city","Protestant","West","Yes","Some College",0
398,3,33,NA,16,"Middle class",6,"White","Smaller city","Catholic","Midwest","No","College Degree",NA
401,2,64,NA,12,"Working class",1,"Black","Smaller city","Protestant","Midwest","No","HS Diploma",NA
401,3,43,29,14,"Working class",1,"Hispanic","Smaller city","Catholic","West","Yes","Some College",0
402,0,56,NA,16,"Upper class",6,"White","Smaller city","Catholic","West","No","College Degree",NA
403,0,38,NA,16,"Middle class",3,"White","Smaller city","Eastern","West","Yes","College Degree",NA
407,4,72,24,16,"Middle class",1,"White","Smaller city","Other","West","No","College Degree",0
409,3,59,28,20,"Middle class",3,"White","Big city","Protestant","Northeast","Yes","Grad/Prof Degree",0
410,2,84,28,16,"Middle class",4,"White","Big city","Jewish","Northeast","No","College Degree",0
412,0,21,NA,15,"Middle class",2,"White","Big city","Jewish","Northeast","Yes","Some College",NA
413,0,23,NA,16,"Middle class",4,"White","Big city","None","Northeast","Yes","College Degree",NA
414,0,34,NA,16,"Middle class",0,"White","Smaller city","Protestant","West","Yes","College Degree",NA
414,0,24,NA,18,"Middle class",7,"White","Big city","Catholic","Northeast","Yes","Grad/Prof Degree",NA
417,0,29,NA,5,"Lower class",0,"Other","Big city","Eastern","Northeast","No","Less Than HS",NA
418,5,35,17,12,"Working class",1,"Black","Big city","None","Northeast","Yes","HS Diploma",0
419,2,35,24,14,"Working class",0,"White","Big city","Protestant","Northeast","Yes","Some College",0
