abany,year,class,courts,nateduc,region,born,racehisp,sex,degree,marital,wrkslf
Yes,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2010,Working class,Too harsh,NA,Mid Atlantic,No,White,Female,Lt high school,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Mid Atlantic,No,Hispanic,Female,Lt high school,Married,Self-employed
Yes,2010,Working class,Too harsh,NA,Mid Atlantic,No,Black,Female,Bachelor,Married,Someone else
NA,2010,Working class,NA,Too little,Mid Atlantic,Yes,Black,Female,Bachelor,Never Married,Someone else
No,2010,Working class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Female,Lt high school,Never Married,Someone else
Yes,2010,Working class,Too harsh,Too little,Mid Atlantic,Yes,Black,Female,Junior college,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Male,Lt high school,Never Married,Someone else
No,2010,Middle class,Too harsh,Too little,Mid Atlantic,No,Other,Male,Bachelor,Married,Self-employed
No,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Graduate,Married,Someone else
No,2010,Middle class,About right,NA,Mid Atlantic,No,Other,Female,Bachelor,Widowed,NA
No,2010,Working class,Too harsh,Too little,Mid Atlantic,No,Hispanic,Male,High school,Married,Someone else
NA,2010,Working class,NA,NA,Mid Atlantic,No,White,Female,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Never Married,Someone else
NA,2010,Middle class,About right,Too little,Mid Atlantic,Yes,White,Male,Bachelor,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,High school,Widowed,Self-employed
Yes,2010,Middle class,NA,Too little,Mid Atlantic,Yes,White,Male,Graduate,Div/Sep,Someone else
Yes,2010,Middle class,About right,NA,Mid Atlantic,Yes,White,Female,Bachelor,Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Married,Self-employed
Yes,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,Graduate,Married,Someone else
NA,2010,Middle class,Not harsh enough,About right,Mid Atlantic,Yes,Black,Male,Lt high school,Never Married,NA
Yes,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Bachelor,Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Male,Graduate,Married,Self-employed
NA,2010,Middle class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,High school,Div/Sep,Someone else
No,2010,Middle class,Not harsh enough,About right,Mid Atlantic,Yes,White,Male,Graduate,Never Married,Someone else
No,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,Bachelor,Never Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,Hispanic,Male,Bachelor,Married,Someone else
Yes,2010,Middle class,About right,NA,Mid Atlantic,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Middle class,Not harsh enough,NA,Mid Atlantic,No,Other,Female,Graduate,Never Married,Someone else
No,2010,Working class,Not harsh enough,NA,West,No,Hispanic,Female,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,About right,West,No,Hispanic,Female,Lt high school,Never Married,NA
NA,2010,Middle class,Not harsh enough,NA,West,Yes,White,Female,High school,Never Married,Someone else
No,2010,Working class,Too harsh,About right,West,Yes,Hispanic,Male,Lt high school,Married,Self-employed
No,2010,Working class,Too harsh,NA,West,No,Hispanic,Female,Junior college,Div/Sep,NA
Yes,2010,Working class,About right,NA,West,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Male,High school,Div/Sep,Self-employed
No,2010,Working class,Not harsh enough,Too little,West,Yes,White,Male,High school,Married,Someone else
NA,2010,Upper class,Not harsh enough,NA,West,Yes,White,Female,Bachelor,Married,Someone else
Yes,2010,Middle class,About right,About right,West,No,White,Male,Bachelor,Married,Self-employed
NA,2010,Working class,Too harsh,About right,West,No,Hispanic,Male,Lt high school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,West,Yes,White,Female,Bachelor,Married,NA
No,2010,Middle class,Not harsh enough,Too little,West,No,Hispanic,Male,Lt high school,Married,Self-employed
NA,2010,Working class,Too harsh,NA,West,No,Hispanic,Male,Lt high school,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,NA,West,Yes,White,Male,Graduate,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,West,No,Hispanic,Male,Lt high school,Married,Someone else
NA,2010,Lower class,Not harsh enough,NA,West,Yes,White,Male,Lt high school,Div/Sep,Someone else
Yes,2010,Working class,About right,NA,West,Yes,White,Female,High school,Married,Self-employed
Yes,2010,Working class,Not harsh enough,Too little,West,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,West,Yes,Hispanic,Male,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,About right,West,No,Other,Male,Graduate,Married,Self-employed
No,2010,Middle class,Not harsh enough,NA,West,Yes,White,Male,High school,Married,Someone else
NA,2010,NA,Not harsh enough,Too little,West,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,West,Yes,White,Male,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Middle class,About right,NA,West,No,Other,Female,Graduate,Married,Self-employed
NA,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Male,High school,Never Married,NA
NA,2010,Middle class,Not harsh enough,NA,West,No,Hispanic,Female,Lt high school,Married,Someone else
NA,2010,Lower class,Too harsh,Too little,West,No,Hispanic,Male,Lt high school,Never Married,Self-employed
No,2010,Working class,Too harsh,About right,West,No,Hispanic,Male,Lt high school,Never Married,Someone else
NA,2010,Lower class,NA,Too little,West,No,White,Female,High school,Never Married,Someone else
Yes,2010,Working class,NA,NA,West,No,Other,Male,Graduate,Married,Self-employed
Yes,2010,Working class,Not harsh enough,NA,West,No,Other,Male,Bachelor,Married,Someone else
Yes,2010,Working class,Not harsh enough,Too little,West,Yes,Hispanic,Male,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,West,No,Hispanic,Male,Lt high school,Never Married,Someone else
No,2010,Working class,Not harsh enough,Too little,West,No,Hispanic,Male,Lt high school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,West,Yes,Hispanic,Female,High school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,NA,West,No,Hispanic,Male,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,West,No,Hispanic,Female,High school,Never Married,Someone else
No,2010,Working class,NA,NA,West,No,Hispanic,Female,Lt high school,Married,NA
Yes,2010,Working class,Too harsh,Too little,West,Yes,Black,Male,Bachelor,Never Married,Someone else
NA,2010,Working class,Not harsh enough,NA,West,No,Hispanic,Female,High school,Never Married,Someone else
Yes,2010,Working class,Too harsh,Too little,West,Yes,Black,Female,High school,Div/Sep,Someone else
NA,2010,Middle class,Too harsh,Too little,West,Yes,White,Female,Graduate,Div/Sep,Self-employed
No,2010,Upper class,About right,NA,West,Yes,White,Male,Bachelor,Never Married,Self-employed
NA,2010,Working class,Not harsh enough,Too little,West,Yes,Hispanic,Male,High school,Never Married,Someone else
Yes,2010,Lower class,Not harsh enough,NA,West,Yes,White,Male,High school,Never Married,Someone else
No,2010,Working class,Too harsh,Too little,West,No,White,Male,Junior college,Married,Someone else
NA,2010,Lower class,About right,Too little,West,No,White,Female,High school,Never Married,NA
Yes,2010,Working class,Too harsh,About right,West,Yes,White,Male,Bachelor,Never Married,Someone else
NA,2010,Middle class,Too harsh,NA,West,Yes,White,Male,High school,Never Married,Someone else
Yes,2010,Middle class,About right,NA,West,Yes,White,Female,Graduate,Married,Someone else
NA,2010,Lower class,Too harsh,NA,West,Yes,White,Male,High school,Never Married,Someone else
Yes,2010,Middle class,NA,Too little,West,Yes,White,Male,High school,Married,Self-employed
Yes,2010,Middle class,Not harsh enough,NA,West,Yes,White,Male,Graduate,Married,Someone else
NA,2010,Middle class,Not harsh enough,About right,West,No,White,Female,High school,Married,Self-employed
Yes,2010,Working class,Not harsh enough,Too little,West,Yes,White,Female,Junior college,Never Married,Self-employed
NA,2010,Middle class,About right,NA,West,Yes,White,Female,High school,Never Married,Someone else
Yes,2010,Working class,Too harsh,NA,West,No,White,Male,Lt high school,Married,Self-employed
Yes,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,West,Yes,Hispanic,Female,Bachelor,Never Married,Someone else
Yes,2010,Middle class,NA,Too little,West,Yes,White,Female,Graduate,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,West,Yes,White,Female,Junior college,Never Married,Someone else
Yes,2010,Middle class,About right,Too little,West,Yes,White,Male,Graduate,Married,Someone else
NA,2010,Working class,Too harsh,NA,West,Yes,Black,Female,High school,Never Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,West,Yes,Hispanic,Female,High school,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,NA,West,Yes,White,Male,Bachelor,Never Married,Self-employed
No,2010,Middle class,Not harsh enough,NA,West,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Middle class,Too harsh,NA,West,Yes,White,Male,Bachelor,Never Married,Someone else
NA,2010,Middle class,About right,NA,West,Yes,White,Female,Bachelor,Div/Sep,Someone else
NA,2010,Middle class,Too harsh,Too little,West,No,Other,Male,Junior college,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,West,Yes,White,Female,Bachelor,Widowed,Someone else
Yes,2010,Working class,Too harsh,Too little,West,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Middle class,Too harsh,NA,West,Yes,White,Female,Graduate,Never Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,West,No,Other,Female,Graduate,Never Married,Someone else
NA,2010,Working class,Not harsh enough,NA,West,Yes,Other,Male,Bachelor,Married,Self-employed
Yes,2010,Middle class,Not harsh enough,NA,West,No,Hispanic,Female,Graduate,Married,Someone else
NA,2010,Upper class,Not harsh enough,NA,West,Yes,White,Male,Graduate,Div/Sep,Someone else
No,2010,Middle class,Not harsh enough,NA,West,Yes,White,Male,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Midwest,Yes,Hispanic,Female,Bachelor,Never Married,Someone else
No,2010,NA,Too harsh,Too little,Midwest,NA,Black,Male,High school,Never Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Black,Female,Graduate,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,About right,Midwest,Yes,Black,Female,Graduate,Div/Sep,Someone else
NA,2010,Middle class,Too harsh,NA,Midwest,Yes,Black,Female,Lt high school,Widowed,Someone else
NA,2010,Working class,NA,NA,Midwest,Yes,Black,Male,High school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Black,Male,High school,Never Married,Someone else
No,2010,Working class,About right,Too little,Midwest,Yes,Black,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,Black,Male,High school,Never Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,Bachelor,Never Married,Self-employed
No,2010,Middle class,Not harsh enough,About right,Midwest,No,White,Male,Bachelor,Married,Someone else
Yes,2010,Working class,Too harsh,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
NA,2010,Middle class,Not harsh enough,About right,Midwest,Yes,Hispanic,Female,Lt high school,Never Married,NA
No,2010,Working class,Not harsh enough,NA,Midwest,No,Hispanic,Female,Lt high school,Married,Someone else
No,2010,Middle class,About right,Too little,Midwest,Yes,Hispanic,Female,High school,Div/Sep,Someone else
NA,2010,Working class,About right,NA,Midwest,No,Hispanic,Female,Lt high school,Married,Someone else
NA,2010,Working class,Too harsh,Too little,Midwest,Yes,Black,Female,Graduate,Div/Sep,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Black,Female,High school,Widowed,Someone else
NA,2010,Middle class,Not harsh enough,Too much,Midwest,Yes,Other,Male,Graduate,Never Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Never Married,Someone else
NA,2010,NA,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
Yes,2010,Middle class,Too harsh,Too little,Midwest,No,Other,Male,Graduate,Never Married,Someone else
Yes,2010,Upper class,NA,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
Yes,2010,Middle class,About right,NA,Midwest,Yes,Black,Female,Bachelor,Never Married,Someone else
Yes,2010,Middle class,About right,Too little,Midwest,Yes,White,Male,Bachelor,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
No,2010,Working class,About right,NA,Midwest,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Widowed,Someone else
NA,2010,Middle class,NA,NA,Midwest,Yes,White,Female,Bachelor,Never Married,Someone else
Yes,2010,Working class,About right,About right,Midwest,No,White,Male,Bachelor,Married,Someone else
Yes,2010,Middle class,About right,NA,Midwest,No,White,Male,Graduate,Div/Sep,Self-employed
NA,2010,Upper class,About right,Too little,Midwest,No,Other,Male,Bachelor,Married,Self-employed
Yes,2010,Middle class,Too harsh,Too little,Midwest,Yes,White,Male,High school,Div/Sep,Self-employed
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Widowed,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,Hispanic,Female,Bachelor,Married,Someone else
Yes,2010,Middle class,About right,Too little,Midwest,Yes,White,Female,Bachelor,Div/Sep,Someone else
Yes,2010,Upper class,NA,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,About right,Midwest,No,White,Male,High school,Married,Someone else
Yes,2010,Middle class,NA,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Female,Lt high school,Married,Self-employed
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Someone else
Yes,2010,Middle class,About right,Too much,Midwest,Yes,White,Male,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Hispanic,Female,Bachelor,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Midwest,Yes,Black,Female,Junior college,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,Hispanic,Female,High school,Div/Sep,Someone else
NA,2010,Middle class,About right,Too little,Midwest,Yes,White,Female,Bachelor,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Widowed,Someone else
NA,2010,Lower class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Widowed,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,About right,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
NA,2010,Middle class,NA,Too little,West,Yes,White,Female,High school,Widowed,Someone else
No,2010,Working class,Not harsh enough,Too little,West,Yes,White,Female,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,About right,West,Yes,White,Male,Bachelor,Married,Someone else
No,2010,Middle class,About right,NA,West,No,White,Female,Graduate,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,West,Yes,Hispanic,Female,Junior college,Div/Sep,Someone else
NA,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Male,Graduate,Never Married,Someone else
NA,2010,Middle class,NA,Too little,West,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Lower class,Too harsh,NA,West,Yes,White,Female,Lt high school,Never Married,NA
NA,2010,Working class,NA,NA,West,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,About right,NA,West,Yes,Other,Female,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,About right,West,Yes,White,Female,High school,Widowed,Self-employed
Yes,2010,Upper class,Not harsh enough,Too little,West,Yes,White,Male,Graduate,Div/Sep,Someone else
NA,2010,Upper class,Too harsh,Too little,West,Yes,White,Female,High school,Never Married,Someone else
No,2010,Upper class,Not harsh enough,Too little,West,Yes,White,Male,Bachelor,Married,Self-employed
NA,2010,Upper class,Not harsh enough,NA,West,Yes,White,Female,Bachelor,Widowed,Someone else
Yes,2010,Upper class,NA,Too little,West,Yes,White,Male,Graduate,Div/Sep,Someone else
Yes,2010,Lower class,Not harsh enough,NA,West,Yes,White,Male,Graduate,Never Married,Self-employed
NA,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Female,Bachelor,Never Married,Self-employed
Yes,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Female,Bachelor,Widowed,Someone else
No,2010,Middle class,Not harsh enough,NA,West,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,West,No,White,Female,Bachelor,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,West,Yes,Hispanic,Female,High school,Married,Someone else
No,2010,Lower class,Too harsh,About right,West,No,Hispanic,Male,Lt high school,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,West,Yes,Hispanic,Female,High school,Married,Someone else
NA,2010,Middle class,Too harsh,NA,West,No,Other,Female,Bachelor,Never Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Female,Bachelor,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,Too little,West,Yes,Black,Male,Bachelor,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,West,Yes,Black,Male,Bachelor,Div/Sep,Someone else
